Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.04 0.44 1.28 -0.18 9.91 0.36 -0.21 -0.03 17
0.04 0.46 1.26 -0.17 9.84 0.37 -0.22 -0.03 23
0.06 0.45 1.20 -0.21 9.68 0.39 -0.23 -0.04 29
0.05 0.45 1.15 -0.18 9.59 0.41 -0.26 -0.05 35
0.05 0.43 1.18 -0.15 9.52 0.44 -0.29 -0.06 41
0.03 0.46 1.28 -0.15 9.66 0.50 -0.30 -0.07 48
0.04 0.44 1.35 -0.32 10.07 0.49 -0.30 -0.06 54
0.05 0.50 1.38 -0.46 10.26 0.48 -0.30 -0.04 60
0.04 0.50 1.30 -0.56 10.33 0.47 -0.29 -0.03 66
0.04 0.51 1.21 -0.63 10.34 0.47 -0.28 -0.03 72
0.04 0.52 1.10 -0.64 10.29 0.46 -0.28 -0.02 78
0.05 0.53 1.03 -0.63 10.24 0.45 -0.28 -0.02 86
0.05 0.53 1.01 -0.66 10.17 0.44 -0.29 -0.02 92
0.03 0.53 1.01 -0.63 10.07 0.44 -0.30 -0.03 98
0.04 0.51 1.00 -0.63 9.98 0.45 -0.31 -0.07 104
0.05 0.52 0.94 -0.65 9.94 0.46 -0.33 -0.04 110
0.04 0.48 0.94 -0.70 9.86 0.47 -0.35 -0.05 116
0.04 0.49 0.95 -0.72 9.84 0.49 -0.36 -0.06 122
0.05 0.50 0.96 -0.72 9.73 0.52 -0.38 -0.06 129
0.05 0.52 0.91 -0.78 9.75 0.54 -0.43 -0.07 135
0.05 0.49 0.90 -0.83 9.90 0.57 -0.41 -0.07 141
0.05 0.44 0.87 -0.87 9.87 0.60 -0.43 -0.07 148
0.04 0.47 0.89 -0.98 10.00 0.63 -0.45 -0.08 154
0.06 0.43 0.86 -1.27 9.86 0.65 -0.48 -0.08 160
0.05 0.42 0.46 -1.16 12.41 0.25 -0.61 -0.07 166
0.05 0.40 0.67 -1.29 10.93 0.16 -0.35 -0.01 173
0.05 0.45 0.74 -1.41 10.62 0.09 -0.23 -0.00 179
