Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.07 0.46 0.10 -1.66 9.67 -0.02 0.03 -0.08 24
0.08 0.45 0.07 -1.64 9.64 -0.01 0.03 -0.08 31
0.08 0.44 0.09 -1.62 9.71 -0.01 0.03 -0.07 38
0.07 0.45 0.09 -1.63 9.70 -0.02 0.03 -0.07 46
0.06 0.44 0.07 -1.62 9.66 -0.02 0.03 -0.08 53
0.07 0.43 0.10 -1.62 9.68 -0.01 0.03 -0.07 60
0.07 0.45 0.08 -1.62 9.69 -0.01 0.03 -0.08 67
0.09 0.45 0.09 -1.64 9.72 -0.01 0.03 -0.07 74
0.07 0.46 0.08 -1.64 9.71 -0.01 0.03 -0.08 81
0.07 0.44 0.08 -1.62 9.73 -0.01 0.03 -0.08 89
0.06 0.44 0.10 -1.63 9.73 -0.01 0.03 -0.08 96
0.07 0.45 0.06 -1.63 9.72 -0.01 0.03 -0.07 103
0.07 0.45 0.08 -1.61 9.74 -0.02 0.03 -0.07 110
0.08 0.45 0.07 -1.62 9.73 -0.01 0.03 -0.08 117
0.07 0.45 0.11 -1.63 9.75 -0.01 0.03 -0.07 124
0.07 0.44 0.09 -1.62 9.72 -0.01 0.03 -0.08 132
0.06 0.44 0.06 -1.62 9.71 -0.01 0.03 -0.08 139
0.07 0.45 0.09 -1.65 9.69 -0.01 0.03 -0.07 146
0.06 0.47 0.04 -1.65 9.71 -0.01 0.03 -0.08 153
0.07 0.46 0.09 -1.66 9.73 -0.02 0.03 -0.08 160
0.07 0.45 0.10 -1.65 9.69 -0.02 0.03 -0.08 167
0.07 0.45 0.08 -1.63 9.68 -0.02 0.04 -0.08 175
0.07 0.46 0.10 -1.60 9.68 -0.03 0.03 -0.07 182
0.06 0.48 0.10 -1.60 9.68 -0.03 0.03 -0.07 189
0.08 0.47 0.15 -1.61 9.73 -0.02 0.03 -0.08 196
0.07 0.49 0.10 -1.59 9.74 -0.02 0.03 -0.08 203
0.06 0.48 0.06 -1.61 9.69 -0.02 0.03 -0.07 210
0.07 0.46 0.12 -1.61 9.78 -0.02 0.03 -0.08 218
0.06 0.48 0.08 -1.65 9.71 -0.01 0.03 -0.08 225
0.06 0.49 0.07 -1.65 9.73 -0.01 0.03 -0.08 232
0.07 0.48 0.10 -1.64 9.69 -0.01 0.03 -0.07 239
0.06 0.49 0.07 -1.65 9.73 -0.02 0.03 -0.07 246
0.06 0.49 0.10 -1.62 9.76 -0.02 0.04 -0.07 253
0.05 0.49 0.08 -1.62 9.74 -0.02 0.04 -0.08 261
0.05 0.48 0.09 -1.62 9.69 -0.02 0.04 -0.07 268
0.05 0.50 0.08 -1.67 9.77 -0.02 0.04 -0.08 275
0.07 0.50 0.10 -1.64 9.75 -0.02 0.04 -0.07 282
0.05 0.49 0.11 -1.63 9.67 -0.01 0.04 -0.07 289
0.04 0.48 0.08 -1.62 9.74 -0.01 0.04 -0.07 296
0.04 0.49 0.09 -1.63 9.73 -0.01 0.04 -0.07 304
0.03 0.50 0.09 -1.64 9.75 -0.01 0.04 -0.07 311
0.03 0.50 0.11 -1.65 9.71 -0.01 0.04 -0.07 318
0.04 0.49 0.06 -1.68 9.74 -0.01 0.05 -0.07 325
0.03 0.50 0.10 -1.66 9.70 -0.01 0.05 -0.07 332
0.02 0.49 0.11 -1.66 9.71 -0.01 0.05 -0.07 339
0.02 0.49 0.08 -1.66 9.80 -0.02 0.05 -0.07 347
0.02 0.50 0.09 -1.64 9.68 -0.02 0.06 -0.07 354
0.04 0.51 0.11 -1.66 9.76 -0.03 0.06 -0.06 361
0.03 0.50 0.12 -1.64 9.70 -0.03 0.06 -0.07 368
0.02 0.50 0.08 -1.60 9.71 -0.03 0.05 -0.06 375
0.03 0.49 0.14 -1.60 9.72 -0.04 0.05 -0.06 382
0.01 0.49 0.11 -1.61 9.70 -0.03 0.05 -0.06 390
-0.02 0.52 0.16 -1.56 9.67 -0.03 0.04 -0.06 397
-0.01 0.51 0.14 -1.58 9.68 -0.03 0.04 -0.06 404
-0.02 0.52 -0.11 -1.44 9.61 -0.04 0.04 -0.06 411
-0.02 0.53 0.13 -1.61 9.69 -0.03 0.04 -0.06 418
-0.00 0.49 0.16 -1.62 9.66 -0.04 0.04 -0.06 425
-0.01 0.52 0.10 -1.64 9.72 -0.04 0.04 -0.06 433
-0.02 0.54 0.09 -1.57 9.66 -0.04 0.04 -0.03 440
-0.00 0.52 0.10 -1.74 10.20 -0.04 0.04 -0.06 447
0.00 0.53 0.10 -1.50 9.52 -0.04 0.05 -0.06 454
-0.00 0.54 0.11 -1.52 9.63 -0.04 0.05 -0.06 461
-0.05 0.57 0.13 -1.62 9.67 -0.04 0.05 -0.06 468
-0.01 0.55 0.08 -1.64 9.67 -0.04 0.06 -0.06 476
0.00 0.57 0.14 -1.55 9.68 -0.05 0.07 -0.06 483
0.01 0.57 0.12 -1.55 9.67 -0.05 0.07 -0.06 490
-0.00 0.55 0.17 -1.56 9.65 -0.05 0.07 -0.06 497
0.01 0.52 0.13 -1.55 9.69 -0.06 0.07 -0.05 504
-0.02 0.55 0.12 -1.57 9.68 -0.06 0.08 -0.05 512
-0.00 0.59 0.13 -1.55 9.66 -0.07 0.08 -0.05 519
-0.00 0.64 0.16 -1.49 9.54 -0.08 0.08 -0.05 526
0.01 0.60 0.14 -1.52 9.62 -0.09 0.08 -0.05 533
-0.01 0.64 0.17 -1.52 9.62 -0.10 0.08 -0.05 540
-0.01 0.66 0.08 -1.55 9.66 -0.11 0.09 -0.05 547
-0.01 0.63 0.16 -1.52 9.64 -0.12 0.09 -0.04 555
0.00 0.69 0.15 -1.53 9.63 -0.13 0.10 -0.03 562
0.00 0.71 0.11 -1.48 9.72 -0.14 0.10 -0.04 569
0.00 0.75 0.18 -1.55 9.76 -0.14 0.10 -0.03 576
-0.00 0.76 0.14 -1.46 9.67 -0.15 0.10 -0.03 583
0.00 0.74 0.15 -1.40 9.62 -0.16 0.10 -0.03 590
-0.01 0.80 0.18 -1.43 9.66 -0.16 0.10 -0.02 598
-0.04 0.87 0.14 -1.44 9.73 -0.16 0.10 -0.02 605
-0.00 0.84 0.16 -1.38 9.64 -0.17 0.10 -0.02 612
-0.05 0.88 0.17 -1.34 9.63 -0.18 0.11 -0.01 619
-0.05 0.89 0.16 -1.36 9.73 -0.18 0.11 -0.01 626
-0.05 0.98 0.14 -1.33 9.73 -0.18 0.11 -0.00 633
-0.06 0.96 0.13 -1.32 9.75 -0.18 0.11 0.00 641
-0.07 1.00 0.18 -1.24 9.81 -0.17 0.10 0.01 648
-0.04 0.93 0.15 -1.25 9.83 -0.16 0.09 0.01 655
-0.05 1.00 0.18 -1.84 9.77 -0.13 0.08 0.01 662
-0.05 0.99 0.15 -1.23 9.80 -0.12 0.08 0.01 669
-0.06 1.03 0.16 -1.22 9.81 -0.10 0.07 0.01 676
-0.06 1.04 -0.04 -1.20 9.32 -0.07 0.07 0.01 684
-0.05 1.04 0.14 -1.20 9.81 -0.06 0.08 0.01 691
-0.03 1.04 0.15 -1.18 9.77 -0.04 0.08 0.01 698
-0.03 1.02 0.15 -1.16 9.81 -0.02 0.08 0.01 705
-0.04 1.01 0.15 -1.17 9.82 -0.00 0.07 0.01 712
-0.05 0.96 0.14 -1.18 9.75 0.01 0.07 0.00 719
-0.04 0.93 0.16 -1.15 9.72 0.02 0.07 0.00 727
-0.04 0.90 0.17 -1.15 9.77 0.03 0.07 0.00 734
-0.03 0.91 0.19 -1.21 9.72 0.05 0.07 -0.00 741
-0.03 0.90 0.17 -1.19 9.71 0.05 0.07 -0.00 748
-0.02 0.87 0.23 -1.16 9.72 0.06 0.07 -0.01 755
-0.03 0.81 0.21 -1.20 9.70 0.07 0.07 -0.01 762
