Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.00 0.00 0.93 11.53 7.35 -0.55 -0.17 1.11 24
0.00 0.00 0.80 11.22 7.64 -0.76 -0.21 1.00 31
0.00 0.00 0.74 10.86 7.91 -0.98 -0.23 0.87 37
-0.00 0.00 0.42 10.23 8.44 -1.19 -0.25 0.79 44
0.00 0.00 0.05 9.48 8.85 -1.39 -0.27 0.66 51
0.00 0.00 -0.08 8.87 9.31 -1.57 -0.32 0.56 57
0.00 0.00 -0.32 8.13 9.62 -1.74 -0.39 0.46 63
0.00 0.00 -0.50 7.29 10.10 -1.86 -0.46 0.37 69
0.00 0.00 -0.55 6.56 10.57 -2.00 -0.51 0.30 75
0.00 0.00 -0.52 5.80 10.90 -2.13 -0.57 0.24 81
-0.00 0.00 -0.44 5.08 11.37 -2.21 -0.63 0.17 88
0.00 0.00 -0.28 4.24 11.85 -2.32 -0.67 0.10 95
0.00 0.00 0.01 3.41 12.31 -2.38 -0.68 0.05 101
0.00 0.00 0.13 2.41 12.79 -2.43 -0.67 -0.01 108
0.00 0.00 0.36 1.58 13.15 -2.47 -0.63 -0.04 115
0.00 0.00 0.60 0.61 13.66 -2.48 -0.55 -0.07 122
-0.00 0.00 0.71 -0.15 13.97 -2.48 -0.47 -0.09 130
0.00 0.00 0.96 -0.98 14.13 -2.46 -0.34 -0.11 137
0.00 0.00 1.75 -1.77 14.20 -2.43 -0.22 -0.11 144
0.00 0.00 1.25 -2.30 14.22 -2.38 -0.06 -0.11 151
0.00 0.00 1.37 -2.91 14.12 -2.32 0.10 -0.11 158
0.00 0.00 1.33 -3.37 14.03 -2.24 0.25 -0.10 165
0.00 0.00 1.23 -3.80 14.00 -2.16 0.39 -0.09 173
0.00 0.00 1.11 -4.32 14.00 -2.09 0.51 -0.06 180
0.00 0.00 1.01 -4.59 13.93 -1.99 0.60 -0.04 187
0.00 0.00 0.80 -4.90 13.83 -1.92 0.68 -0.01 194
-0.00 0.00 0.60 -5.15 13.70 -1.87 0.73 0.04 201
-0.00 0.02 0.23 -5.33 13.63 -1.86 0.80 0.07 208
-0.00 0.01 -0.36 -5.57 13.73 -1.89 0.89 0.11 216
-0.00 0.01 -0.83 -5.65 13.37 -1.96 0.97 0.14 223
0.00 0.00 -1.44 -5.76 13.18 -2.08 1.03 0.14 230
0.00 0.00 -2.02 -5.79 12.69 -2.18 1.06 0.15 237
0.00 0.00 -2.70 -6.15 12.26 -2.29 1.06 0.15 244
0.00 0.00 -3.31 -7.03 11.98 -2.34 1.04 0.16 251
0.00 0.00 -3.54 -7.72 11.30 -2.36 0.94 0.11 259
0.00 0.00 -3.47 -8.58 10.36 -2.32 0.75 0.06 266
0.00 0.00 -3.02 -9.52 9.49 -2.26 0.43 -0.09 273
0.00 0.00 -2.18 -10.35 8.86 -2.18 0.27 -0.23 279
0.00 0.00 -0.95 -11.36 7.67 -2.06 0.13 -0.49 286
-0.00 0.01 -0.23 -12.67 6.59 -1.93 0.20 -0.76 293
-0.00 0.00 -0.10 -13.95 5.85 -1.73 0.44 -0.97 301
0.00 0.00 -0.93 -15.49 5.08 -1.53 0.69 -1.16 308
0.00 0.00 -1.87 -16.46 4.53 -1.25 0.80 -1.23 315
0.00 0.00 -2.91 -16.86 4.39 -0.90 0.77 -1.25 322
0.00 0.00 -3.68 -16.39 4.62 -0.54 0.60 -1.19 329
0.00 0.00 -4.08 -15.47 5.07 -0.06 0.26 -1.11 336
0.00 0.00 -3.76 -14.11 5.98 0.40 -0.16 -1.00 344
0.00 0.00 -3.05 -12.77 7.13 0.72 -0.53 -0.90 351
0.00 0.00 -2.12 -11.44 8.23 0.98 -0.86 -0.81 358
0.00 0.00 2.43 -11.90 5.30 1.09 -1.08 -0.81 365
0.00 0.00 -3.52 -3.23 11.77 2.34 -1.13 -1.28 372
-0.00 0.00 1.37 9.99 5.31 2.39 -0.96 -1.25 379
-0.00 0.02 1.84 1.53 13.69 2.43 -1.32 -1.25 387
