Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.31 0.01 0.18 -1.09 9.91 0.05 -0.02 -0.05 24
0.34 0.01 0.17 -1.10 9.86 0.08 -0.04 -0.06 31
0.36 0.01 0.10 -1.12 9.90 0.10 -0.07 -0.06 38
0.40 -0.01 0.06 -1.17 9.93 0.12 -0.10 -0.07 46
0.39 -0.01 0.08 -1.15 10.06 0.13 -0.11 -0.07 54
0.39 -0.01 -0.03 -1.20 10.03 0.15 -0.12 -0.08 60
0.38 0.00 0.11 -1.18 10.08 0.18 -0.14 -0.09 67
0.41 -0.01 -0.01 -1.33 10.35 0.21 -0.17 -0.09 75
0.39 -0.00 -0.01 -1.26 10.53 0.25 -0.23 -0.09 82
0.42 -0.02 -0.43 -1.33 11.30 0.33 -0.30 -0.09 90
0.41 -0.02 -0.67 -1.36 11.96 0.47 -0.51 -0.05 97
0.42 -0.03 -0.25 -1.31 12.48 0.65 -0.82 0.00 104
0.42 -0.02 0.69 -1.62 13.37 0.83 -0.86 -0.01 111
0.44 -0.02 0.51 -1.51 13.69 1.07 -0.72 -0.09 118
0.46 -0.03 0.33 -1.60 13.28 1.24 -0.91 -0.10 125
0.46 -0.02 1.19 -1.71 13.13 1.43 -1.05 -0.15 133
0.42 -0.01 0.89 -1.81 13.78 1.64 -1.16 -0.23 140
0.44 -0.03 0.54 -2.36 14.41 1.84 -1.28 -0.29 147
0.40 -0.03 0.24 -2.10 14.97 2.08 -1.44 -0.33 154
0.37 -0.01 0.18 -2.04 15.25 2.29 -1.61 -0.36 161
0.36 -0.01 0.48 -2.15 15.57 2.55 -1.75 -0.41 168
0.31 -0.02 0.54 -2.34 15.59 2.77 -1.96 -0.45 176
0.24 -0.02 0.77 -2.68 15.70 2.95 -2.21 -0.52 183
0.18 -0.02 1.38 -3.10 15.66 3.08 -2.54 -0.60 189
0.16 -0.01 2.15 -3.28 15.56 3.12 -2.83 -0.74 197
0.09 0.00 2.64 -3.51 15.45 3.15 -3.01 -0.87 204
0.10 -0.01 2.66 -4.00 16.15 3.08 -3.28 -1.06 210
0.04 -0.00 3.42 -4.33 16.67 2.94 -3.57 -1.22 218
0.07 -0.01 3.73 -4.20 16.35 2.66 -3.85 -1.36 225
0.04 -0.00 4.01 -3.93 14.97 2.41 -4.25 -1.51 232
0.01 -0.00 5.08 -3.08 14.44 2.15 -4.28 -1.56 239
0.02 -0.00 5.90 -1.83 13.41 1.84 -4.28 -1.56 246
0.02 -0.00 6.75 -1.26 11.25 1.53 -4.28 -1.46 253
0.02 -0.00 14.29 -0.52 9.35 1.32 -4.28 -0.90 261
0.00 0.00 18.69 -0.07 9.97 1.31 -3.18 0.66 268
0.00 0.00 19.63 1.03 12.18 0.61 -0.94 1.43 275
0.00 0.00 12.51 1.00 10.33 -0.02 0.19 2.08 282
0.00 0.00 7.86 0.57 9.99 -0.32 0.43 2.53 289
0.02 -0.00 5.91 -0.17 9.24 -0.42 0.15 2.70 295
0.00 0.00 5.77 -0.29 8.99 -0.39 -0.23 2.72 303
0.00 0.00 6.53 0.11 8.62 -0.32 -0.32 2.54 309
0.00 0.00 7.70 0.50 8.45 -0.30 -0.17 2.28 315
0.00 0.00 8.36 0.80 8.27 -0.32 0.22 1.89 321
