Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
1000
-0.00 0.03 0.43 -0.98 9.77 -0.01 0.04 -0.05 23
-0.00 0.02 0.40 -0.99 9.72 -0.01 0.04 -0.05 29
-0.00 0.02 0.40 -0.97 9.80 -0.01 0.04 -0.05 35
-0.00 0.02 0.46 -0.97 9.79 -0.01 0.05 -0.05 41
-0.00 0.02 0.43 -0.99 9.72 -0.01 0.04 -0.05 48
-0.00 0.02 0.42 -1.01 9.80 -0.01 0.04 -0.06 54
0.02 0.03 0.44 -1.00 9.77 -0.00 0.04 -0.06 60
-0.00 0.02 0.45 -0.97 9.79 -0.01 0.04 -0.05 67
-0.00 0.02 0.41 -0.97 9.79 -0.00 0.04 -0.06 73
-0.00 0.02 0.43 -0.99 9.81 -0.00 0.04 -0.05 79
-0.00 0.02 0.43 -0.98 9.80 -0.00 0.04 -0.06 86
-0.00 0.03 0.46 -0.97 9.79 -0.01 0.04 -0.06 92
-0.00 0.03 0.45 -0.97 9.75 -0.01 0.04 -0.05 98
0.02 0.02 0.41 -1.01 9.75 -0.00 0.04 -0.05 104
-0.00 0.02 0.43 -1.02 9.78 -0.01 0.04 -0.05 111
-0.00 0.02 0.44 -0.98 9.79 -0.01 0.04 -0.05 118
-0.00 0.01 0.43 -0.97 9.82 -0.00 0.04 -0.06 125
-0.00 0.02 0.45 -1.00 9.77 -0.00 0.04 -0.05 133
-0.00 0.03 0.46 -1.02 9.79 -0.00 0.04 -0.06 140
-0.00 0.02 0.42 -1.02 9.81 -0.01 0.04 -0.05 147
-0.00 0.02 0.45 -0.95 9.80 -0.01 0.04 -0.05 154
-0.00 0.01 0.43 -1.00 9.80 -0.01 0.04 -0.06 161
-0.00 0.02 0.44 -1.02 9.79 -0.01 0.04 -0.05 168
-0.00 0.03 0.44 -0.97 9.81 -0.01 0.04 -0.05 176
-0.00 0.04 0.40 -0.99 9.78 -0.01 0.04 -0.06 183
-0.00 0.02 0.42 -0.99 9.81 -0.01 0.04 -0.06 190
-0.00 0.02 0.45 -0.98 9.77 -0.00 0.04 -0.06 197
-0.00 0.01 0.40 -0.98 9.78 -0.01 0.04 -0.06 204
-0.00 0.02 0.42 -1.00 9.78 -0.00 0.04 -0.05 211
-0.00 0.02 0.43 -0.99 9.79 -0.00 0.04 -0.06 219
-0.00 0.03 0.47 -0.99 9.77 -0.00 0.04 -0.05 226
-0.00 0.03 0.41 -0.99 9.77 -0.01 0.04 -0.06 233
-0.00 0.02 0.44 -0.98 9.80 -0.00 0.04 -0.06 240
-0.00 0.01 0.43 -1.02 9.78 -0.00 0.04 -0.05 247
-0.00 0.02 0.44 -0.98 9.75 -0.01 0.04 -0.06 254
-0.00 0.02 0.48 -1.01 9.79 -0.01 0.04 -0.06 262
0.00 0.03 0.41 -0.98 9.78 -0.00 0.04 -0.05 269
-0.00 0.03 0.46 -1.01 9.81 -0.01 0.04 -0.06 276
-0.00 0.02 0.46 -0.98 9.81 -0.01 0.04 -0.05 283
-0.00 0.01 0.43 -0.98 9.76 -0.01 0.04 -0.05 290
-0.00 0.02 0.41 -0.99 9.79 -0.01 0.04 -0.05 297
-0.00 0.03 0.48 -0.98 9.72 -0.01 0.04 -0.06 305
-0.00 0.02 0.42 -0.98 9.79 -0.01 0.04 -0.05 312
-0.00 0.03 0.43 -0.99 9.76 -0.00 0.04 -0.06 319
-0.00 0.02 0.41 -1.00 9.77 -0.01 0.04 -0.06 326
-0.00 0.02 0.43 -0.97 9.79 -0.01 0.04 -0.05 333
-0.00 0.02 0.45 -0.97 9.75 -0.01 0.04 -0.05 340
-0.00 0.03 0.46 -0.97 9.79 -0.00 0.04 -0.05 348
-0.00 0.03 0.45 -0.98 9.81 -0.01 0.04 -0.05 355
-0.00 0.03 0.43 -0.99 9.78 -0.01 0.04 -0.06 362
-0.00 0.02 0.43 -0.98 9.76 -0.01 0.04 -0.05 369
-0.00 0.02 0.44 -0.97 9.76 -0.01 0.04 -0.05 376
-0.00 0.02 0.40 -0.98 9.80 -0.01 0.04 -0.05 384
-0.00 0.03 0.42 -0.98 9.78 -0.01 0.05 -0.05 391
-0.00 0.02 0.45 -1.00 9.78 -0.01 0.04 -0.06 398
-0.00 0.02 0.44 -0.98 9.81 -0.01 0.04 -0.06 405
-0.00 0.01 0.44 -0.97 9.81 -0.00 0.04 -0.05 412
-0.00 0.02 0.44 -0.98 9.79 -0.01 0.04 -0.05 419
-0.00 0.02 0.42 -1.02 9.81 -0.00 0.04 -0.05 427
-0.00 0.03 0.39 -1.00 9.80 -0.01 0.04 -0.05 434
-0.00 0.02 0.42 -0.97 9.80 -0.00 0.04 -0.06 441
-0.00 0.02 0.46 -1.01 9.81 -0.01 0.04 -0.05 448
-0.00 0.01 0.46 -0.97 9.81 -0.01 0.04 -0.05 455
-0.00 0.02 0.44 -0.98 9.78 -0.01 0.04 -0.05 462
-0.00 0.03 0.45 -1.01 9.81 -0.01 0.04 -0.05 470
-0.00 0.02 0.46 -0.97 9.78 -0.01 0.04 -0.06 477
-0.00 0.02 0.44 -0.97 9.79 -0.00 0.04 -0.06 484
-0.00 0.03 0.42 -1.00 9.78 -0.01 0.04 -0.05 491
-0.00 0.02 0.43 -0.97 9.78 -0.01 0.04 -0.06 498
-0.00 0.02 0.44 -1.02 9.76 -0.01 0.04 -0.05 505
-0.00 0.03 0.44 -1.01 9.76 -0.01 0.04 -0.05 513
0.00 0.03 0.45 -0.96 9.78 -0.01 0.04 -0.06 520
-0.00 0.02 0.46 -1.00 9.80 -0.01 0.04 -0.06 527
-0.00 0.02 0.44 -0.95 9.77 -0.00 0.04 -0.06 534
-0.00 0.02 0.45 -0.98 9.79 -0.01 0.04 -0.05 541
-0.00 0.03 0.44 -1.00 9.80 -0.00 0.04 -0.06 548
0.00 0.03 0.42 -0.99 9.75 -0.00 0.04 -0.05 556
0.01 0.02 0.46 -0.97 9.77 -0.01 0.04 -0.05 563
0.01 0.02 0.45 -1.00 9.77 -0.01 0.04 -0.05 570
0.01 0.01 0.43 -0.94 9.76 -0.01 0.04 -0.06 577
0.01 0.02 0.40 -0.99 9.82 -0.01 0.04 -0.05 584
0.01 0.02 0.44 -0.99 9.80 -0.01 0.04 -0.05 591
0.02 0.03 0.46 -0.99 9.82 -0.01 0.05 -0.06 599
0.03 0.02 0.43 -0.99 9.76 -0.00 0.04 -0.06 606
0.02 0.03 0.42 -1.01 9.76 -0.01 0.04 -0.05 613
0.02 0.01 0.41 -0.96 9.82 -0.01 0.04 -0.05 620
0.01 0.02 0.44 -0.99 10.41 -0.01 0.04 -0.06 627
0.02 0.03 0.42 -1.04 9.77 -0.01 0.04 -0.05 634
0.03 0.03 0.45 -1.01 9.76 -0.01 0.04 -0.06 642
0.03 0.03 0.46 -0.96 9.79 -0.01 0.04 -0.05 649
0.02 0.03 0.41 -0.96 9.76 -0.01 0.04 -0.05 656
0.02 0.02 0.45 -1.00 9.78 -0.00 0.04 -0.06 663
0.02 0.03 0.41 -0.96 9.78 -0.01 0.04 -0.05 670
0.02 0.03 0.45 -1.02 9.80 -0.00 0.04 -0.06 677
0.04 0.03 0.43 -0.99 9.78 -0.01 0.04 -0.06 685
0.02 0.02 0.44 -0.98 9.78 -0.01 0.04 -0.06 692
0.02 0.02 0.44 -1.01 9.77 -0.01 0.04 -0.05 699
0.01 0.02 0.46 -0.97 9.81 -0.00 0.05 -0.06 706
0.02 0.02 0.46 -0.99 9.76 -0.01 0.04 -0.06 713
0.02 0.04 0.44 -0.99 9.78 -0.01 0.04 -0.05 720
0.03 0.02 0.43 -0.99 9.80 -0.01 0.04 -0.05 728
0.02 0.02 0.43 -0.99 9.80 -0.01 0.04 -0.05 735
0.02 0.01 0.44 -1.00 9.81 -0.00 0.04 -0.06 742
0.01 0.02 0.42 -0.98 9.74 -0.00 0.04 -0.05 749
0.02 0.02 0.46 -0.96 9.80 -0.00 0.04 -0.06 756
0.02 0.03 0.44 -0.97 9.80 -0.00 0.04 -0.06 763
0.03 0.03 0.44 -0.97 9.81 -0.00 0.04 -0.05 771
0.02 0.02 0.41 -0.96 9.75 -0.00 0.04 -0.05 778
0.02 0.01 0.43 -0.99 9.79 -0.01 0.04 -0.06 785
0.01 0.02 0.44 -0.99 9.77 -0.00 0.05 -0.05 792
0.02 0.02 0.41 -1.02 9.81 -0.01 0.04 -0.06 799
0.03 0.03 0.45 -0.98 9.79 -0.01 0.04 -0.05 806
0.02 0.02 0.42 -0.99 9.78 -0.00 0.04 -0.06 814
0.02 0.02 0.42 -0.97 9.79 -0.01 0.05 -0.06 821
0.02 0.01 0.44 -0.96 9.77 -0.00 0.04 -0.05 828
0.01 0.02 0.44 -0.97 9.77 -0.00 0.04 -0.06 835
0.02 0.03 0.48 -1.01 9.76 -0.00 0.04 -0.05 842
0.03 0.03 0.44 -0.98 9.80 -0.00 0.04 -0.06 849
0.02 0.02 0.44 -0.99 9.77 -0.00 0.04 -0.06 857
0.02 0.02 0.41 -0.98 9.77 -0.01 0.04 -0.06 864
0.02 0.02 0.44 -0.97 9.78 -0.01 0.04 -0.05 871
0.01 0.02 0.43 -0.95 9.81 -0.00 0.04 -0.06 878
0.01 0.03 0.46 -0.97 9.76 -0.01 0.04 -0.06 885
0.03 0.02 0.43 -0.97 9.78 -0.00 0.04 -0.05 892
0.02 0.02 0.42 -0.98 9.81 -0.01 0.04 -0.06 900
0.02 0.02 0.43 -0.99 9.78 -0.00 0.04 -0.06 907
0.01 0.01 0.44 -1.00 9.77 -0.01 0.04 -0.06 914
0.01 0.01 0.47 -0.99 9.80 -0.01 0.04 -0.05 921
0.02 0.03 0.43 -1.03 9.79 -0.01 0.04 -0.06 928
0.03 0.02 0.49 -1.00 9.76 -0.01 0.04 -0.06 935
0.02 0.02 0.43 -1.00 9.82 -0.00 0.04 -0.06 943
0.02 0.01 0.40 -0.97 9.79 -0.01 0.05 -0.06 950
0.01 0.01 0.43 -0.97 9.78 -0.01 0.04 -0.05 957
0.02 0.02 0.45 -0.98 9.77 -0.01 0.04 -0.05 964
0.02 0.02 0.41 -0.98 9.76 -0.01 0.04 -0.06 971
0.03 0.02 0.47 -0.97 9.79 -0.01 0.04 -0.06 978
0.01 0.01 0.44 -0.97 9.81 -0.01 0.04 -0.06 986
0.01 0.00 0.43 -0.98 9.77 -0.00 0.04 -0.06 993
0.00 0.01 0.49 -0.98 9.79 -0.01 0.04 -0.05 1000
-0.00 0.02 0.46 -1.01 9.78 -0.01 0.04 -0.06 1007
0.01 0.02 0.44 -1.02 9.78 -0.00 0.04 -0.05 1014
-0.00 0.01 0.47 -0.99 9.79 -0.00 0.04 -0.05 1021
-0.00 0.02 0.45 -0.97 9.75 -0.00 0.04 -0.05 1029
-0.00 0.01 0.43 -0.99 9.79 -0.00 0.04 -0.06 1036
-0.00 0.02 0.44 -0.99 9.79 -0.00 0.04 -0.06 1043
-0.00 0.02 0.45 -0.99 9.80 -0.00 0.04 -0.06 1050
-0.00 0.02 0.44 -1.01 9.78 -0.01 0.04 -0.06 1057
-0.00 0.01 0.45 -0.99 9.79 -0.00 0.04 -0.06 1064
-0.00 0.01 0.44 -0.99 9.77 -0.01 0.04 -0.06 1072
