Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.01 0.50 0.70 -0.92 10.01 -0.03 -0.02 0.03 17
0.01 0.50 0.72 -0.96 10.01 -0.02 -0.01 0.03 23
0.01 0.46 0.18 -0.62 9.66 -0.02 -0.02 0.03 29
0.00 0.53 0.69 -0.92 10.01 -0.03 0.00 0.03 35
-0.00 0.56 0.69 -0.95 9.99 -0.03 0.00 0.03 41
0.00 0.53 0.69 -0.91 9.98 -0.03 0.01 0.03 48
0.01 0.62 0.69 -0.91 9.98 -0.03 0.01 0.03 54
0.01 0.65 0.72 -0.95 9.97 -0.03 0.01 0.03 60
0.01 0.62 0.73 -0.93 9.96 -0.03 0.01 0.04 66
0.01 0.58 0.67 -0.88 9.99 -0.03 0.01 0.04 72
0.01 0.65 0.70 -0.90 9.92 -0.03 0.02 0.04 78
0.02 0.68 0.71 -0.88 9.95 -0.03 0.01 0.04 84
0.03 0.66 0.71 -0.89 10.00 -0.03 0.01 0.04 91
0.02 0.70 0.73 -0.89 9.95 -0.03 0.01 0.04 97
0.01 0.68 0.73 -0.90 9.96 -0.03 0.01 0.04 103
0.01 0.70 0.68 -0.87 9.88 -0.04 0.01 0.05 109
0.02 0.75 0.73 -0.87 9.93 -0.04 0.01 0.05 115
0.03 0.76 0.71 -0.86 9.96 -0.04 0.00 0.05 121
0.02 0.76 0.73 -0.87 9.93 -0.04 0.01 0.05 129
0.02 0.78 0.71 -0.86 9.98 -0.04 0.01 0.05 135
0.01 0.82 0.70 -0.86 9.96 -0.04 0.00 0.05 141
0.02 0.85 0.74 -0.85 9.96 -0.04 0.00 0.05 147
0.01 0.83 0.74 -0.86 9.96 -0.03 0.00 0.06 153
0.01 0.81 0.73 -0.85 9.98 -0.03 0.00 0.05 159
0.01 0.86 0.73 -0.85 9.98 -0.03 -0.01 0.06 165
0.02 0.92 0.72 -0.87 9.94 -0.03 -0.01 0.06 172
0.03 0.96 0.71 -0.84 9.96 -0.02 -0.01 0.06 178
0.02 0.96 0.71 -0.82 9.99 -0.02 -0.01 0.06 184
0.02 0.95 0.72 -0.83 9.93 -0.02 -0.01 0.05 190
0.01 0.97 0.77 -0.80 9.94 -0.02 -0.01 0.06 196
0.02 0.98 0.74 -0.76 9.94 -0.01 -0.00 0.06 202
0.01 0.96 0.72 -0.81 9.93 -0.01 -0.00 0.06 209
0.01 0.98 0.74 -0.82 9.95 -0.01 -0.00 0.06 216
-0.00 0.99 0.78 -0.81 9.97 -0.00 -0.00 0.06 222
0.01 0.96 0.77 -0.80 9.97 -0.01 -0.01 0.05 228
0.02 0.95 0.74 -0.80 9.96 -0.01 -0.01 0.05 234
0.03 0.91 0.73 -0.82 9.94 -0.00 -0.01 0.05 240
0.01 0.88 0.75 -0.79 9.92 -0.00 -0.01 0.05 246
0.01 0.87 0.70 -0.78 9.92 0.00 -0.00 0.05 252
0.01 0.85 0.75 -0.75 9.91 -0.00 0.00 0.05 259
0.03 0.83 0.74 -0.77 9.94 0.00 0.01 0.05 265
