Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.00 0.00 1.62 0.03 9.73 -0.41 0.26 -0.88 17
0.00 0.00 1.21 -0.32 9.45 -0.36 0.39 -0.92 29
0.00 0.00 0.55 -0.76 9.51 -0.29 0.45 -0.96 41
0.00 0.00 -0.00 -0.84 10.02 -0.26 0.42 -1.03 54
0.00 0.00 -0.36 -0.81 10.23 -0.36 0.39 -1.13 67
0.00 0.00 -0.89 -1.18 10.06 -0.53 0.36 -1.25 81
0.00 0.00 -0.93 -1.64 9.46 -0.62 0.33 -1.40 95
0.00 0.00 -0.69 -2.12 8.94 -0.61 0.27 -1.58 108
0.00 0.00 -0.86 -2.49 8.80 -0.54 0.33 -1.76 121
0.00 0.00 -1.30 -3.11 8.62 -0.48 0.40 -1.95 135
0.00 0.00 -1.60 -3.91 8.49 -0.40 0.34 -2.18 147
0.00 0.00 -1.57 -4.41 8.07 -0.38 0.25 -2.42 160
0.00 0.00 -0.98 -4.66 7.93 -0.31 0.24 -2.63 174
0.00 0.00 -0.52 -4.72 8.07 -0.22 0.28 -2.76 187
-0.00 0.00 -0.46 -4.72 8.16 -0.14 0.32 -2.75 199
0.00 0.00 3.74 -8.52 2.67 0.50 0.69 -2.41 214
0.00 0.00 1.86 -2.43 7.65 0.66 0.94 -2.17 226
0.00 0.00 1.75 0.21 9.91 0.61 1.51 -1.97 238
-0.00 0.01 3.32 0.70 10.43 0.54 1.16 -1.87 251
-0.01 0.12 11.50 3.28 10.67 0.72 0.51 -1.57 267
-0.02 0.23 8.13 -1.24 9.23 1.05 -0.25 -0.78 280
-0.02 0.28 4.41 -1.61 10.46 1.43 -0.77 0.14 295
-0.03 0.29 -15.22 -8.12 44.03 1.18 -1.58 0.29 310
-0.02 0.34 -0.88 -1.56 9.75 -0.13 0.11 -0.09 323
-0.00 0.34 0.51 -0.90 9.91 -0.05 0.14 -0.05 337
-0.01 0.38 0.37 -0.81 9.80 -0.06 0.11 -0.03 352
-0.01 0.46 0.32 -0.90 9.81 -0.05 0.10 -0.04 366
0.00 0.48 0.40 -0.92 9.81 -0.07 0.07 -0.04 380
0.00 0.57 0.39 -0.85 9.82 -0.07 0.06 -0.04 395
0.00 0.70 0.35 -0.83 9.83 -0.07 0.06 -0.04 409
-0.00 0.76 0.36 -0.82 9.83 -0.06 0.06 -0.05 423
-0.01 0.79 0.39 -0.81 9.83 -0.04 0.07 -0.05 438
-0.01 0.88 0.38 -0.78 9.82 -0.03 0.07 -0.05 452
-0.02 0.90 0.34 -0.79 9.81 -0.02 0.07 -0.04 466
-0.03 0.97 0.36 -0.78 9.79 -0.01 0.08 -0.04 481
-0.01 0.94 0.37 -0.79 9.80 -0.01 0.08 -0.04 495
-0.02 0.87 0.40 -0.78 9.78 -0.00 0.08 -0.04 509
-0.05 0.86 0.42 -0.78 9.79 -0.00 0.07 -0.04 524
-0.04 0.88 0.39 -0.76 9.75 -0.00 0.09 -0.04 538
-0.06 0.82 0.40 -0.78 9.79 -0.01 0.10 -0.04 552
-0.04 0.77 0.40 -0.74 9.80 -0.01 0.11 -0.04 567
-0.04 0.74 0.43 -0.74 9.78 -0.01 0.11 -0.04 581
-0.04 0.70 0.39 -0.68 9.69 -0.00 0.11 -0.03 595
