Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.04 -0.00 3.93 3.58 7.43 -1.41 -0.38 -0.40 23
0.04 -0.00 4.47 3.31 8.50 -1.43 -0.32 -0.29 29
0.02 -0.00 5.51 3.21 9.35 -1.49 -0.18 -0.18 35
0.03 -0.00 5.08 3.06 9.81 -1.62 -0.03 -0.10 41
0.04 0.01 5.01 2.71 10.15 -1.79 0.20 0.01 48
0.04 -0.00 4.95 2.29 10.82 -1.98 0.45 0.13 54
0.04 -0.00 4.76 1.70 11.66 -2.13 0.66 0.26 60
0.04 -0.00 4.40 0.90 12.40 -2.28 0.81 0.37 66
0.04 -0.00 3.83 0.34 13.40 -2.42 0.92 0.47 72
0.04 0.00 3.22 -0.29 13.23 -2.52 0.99 0.58 78
0.04 -0.00 2.75 -0.97 13.51 -2.62 1.01 0.68 84
0.04 -0.00 2.40 -1.64 13.73 -2.69 0.99 0.76 91
0.04 -0.00 2.26 -2.13 13.86 -2.75 0.97 0.82 97
0.04 0.00 2.09 -2.62 13.93 -2.78 0.94 0.86 103
0.05 0.00 1.96 -3.08 13.97 -2.80 0.92 0.89 109
0.04 -0.00 1.88 -3.54 13.99 -2.79 0.90 0.90 116
0.05 -0.00 1.78 -3.94 14.00 -2.77 0.89 0.90 122
0.05 0.00 1.74 -4.22 13.97 -2.74 0.88 0.87 129
0.07 -0.01 1.67 -4.53 13.84 -2.69 0.86 0.84 135
0.05 -0.01 1.64 -4.75 13.79 -2.63 0.83 0.81 141
0.05 -0.00 1.55 -5.02 13.71 -2.55 0.79 0.76 147
0.05 -0.01 1.47 -5.15 13.53 -2.47 0.75 0.71 153
0.07 -0.01 1.38 -5.26 13.38 -2.37 0.69 0.66 159
0.06 -0.00 1.36 -5.48 13.37 -2.25 0.62 0.61 165
0.04 0.00 1.37 -5.70 13.34 -2.18 0.56 0.56 173
0.06 0.00 1.44 -5.88 13.34 -2.06 0.52 0.50 179
0.06 -0.01 1.52 -6.05 13.21 -1.94 0.50 0.44 185
0.06 -0.01 1.61 -6.41 13.02 -1.83 0.52 0.38 191
0.06 -0.01 1.66 -6.69 13.19 -1.72 0.56 0.32 197
0.06 0.00 1.47 -7.07 13.25 -1.61 0.61 0.26 203
0.05 -0.01 1.21 -7.26 13.46 -1.51 0.65 0.22 209
0.05 -0.01 0.99 -7.28 13.46 -1.44 0.69 0.19 216
0.05 -0.01 0.77 -7.35 13.55 -1.36 0.70 0.17 223
0.06 -0.01 0.42 -7.37 13.58 -1.30 0.69 0.17 229
0.05 -0.01 0.16 -7.31 13.53 -1.27 0.67 0.19 235
0.05 -0.00 -0.01 -7.24 13.38 -1.25 0.62 0.22 241
0.06 -0.01 -0.08 -7.27 13.15 -1.25 0.57 0.27 247
0.07 -0.01 -0.21 -7.38 12.89 -1.24 0.53 0.33 253
0.05 -0.00 -0.33 -7.59 12.63 -1.23 0.47 0.42 260
0.04 -0.00 -0.43 -8.51 12.49 -1.22 0.49 0.53 266
0.05 -0.01 -0.52 -8.50 11.70 -1.21 0.48 0.63 272
0.07 -0.01 -0.57 -9.20 11.87 -1.19 0.47 0.75 278
0.06 -0.01 -0.65 -9.98 11.45 -1.19 0.45 0.88 285
0.06 -0.01 -0.81 -10.69 10.78 -1.19 0.45 1.01 291
0.06 -0.00 -0.96 -11.55 10.11 -1.19 0.46 1.14 297
0.06 -0.01 -0.82 -12.52 8.23 -1.20 0.46 1.27 304
0.06 -0.01 -1.66 -13.19 9.09 -1.22 0.46 1.39 310
0.06 -0.01 -1.73 -14.69 8.69 -1.20 0.55 1.48 316
0.06 -0.01 -1.72 -15.06 8.30 -1.17 0.62 1.55 322
0.06 -0.01 -1.91 -15.81 7.50 -1.13 0.59 1.56 329
0.06 -0.01 -2.06 -16.56 6.77 -1.06 0.49 1.53 335
0.06 -0.00 -1.98 -17.18 5.97 -0.93 0.38 1.44 342
0.07 -0.01 -1.79 -17.64 5.02 -0.79 0.30 1.34 348
0.06 -0.00 -3.58 -25.95 4.23 -0.50 0.04 1.17 354
0.04 -0.00 -6.19 -19.75 6.16 0.49 -0.63 0.93 360
0.06 -0.00 -4.35 -18.19 1.15 0.85 -0.72 0.77 366
0.06 -0.01 -5.48 -20.03 0.98 1.38 -1.13 0.55 372
0.06 -0.01 -3.70 -21.78 2.81 1.80 -1.31 0.40 379
0.06 -0.01 -4.10 -22.24 4.30 2.20 -1.54 0.29 386
0.05 0.01 -4.45 -17.51 5.30 2.48 -1.77 0.30 392
0.05 0.08 0.21 -1.81 7.58 2.74 -1.86 0.32 398
0.05 0.20 -0.53 0.50 12.85 2.95 -1.82 0.32 404
0.02 0.42 -2.65 -3.23 23.77 3.16 -1.94 0.30 410
0.02 0.62 -4.30 0.23 21.10 3.11 -1.91 0.15 416
0.02 0.72 -2.17 -1.29 18.27 3.00 -1.59 -0.07 423
0.01 0.84 -1.07 -7.64 56.01 2.32 -2.31 -0.26 430
0.01 0.86 -0.34 -2.94 12.06 0.06 -0.56 0.01 436
-0.00 0.92 0.22 -4.97 10.71 -0.10 -0.16 -0.02 442
0.01 1.01 0.38 -2.76 11.10 -0.08 -0.11 0.01 448
0.03 0.96 0.78 -0.74 10.23 -0.03 -0.07 0.08 454
0.02 0.97 0.68 -0.22 9.86 0.02 -0.04 0.09 460
0.02 0.94 0.24 -0.52 9.95 0.03 -0.02 0.08 467
0.01 0.88 0.44 -0.79 9.98 0.00 -0.02 0.07 474
0.01 0.91 0.80 -0.93 9.85 -0.02 -0.02 0.07 480
0.01 0.92 0.62 -0.91 9.90 -0.02 -0.01 0.10 486
0.01 0.92 0.49 -0.90 10.21 -0.03 -0.00 0.09 492
0.01 0.97 0.55 -0.81 9.98 -0.04 -0.00 0.08 498
0.02 1.04 0.62 -0.81 9.91 -0.05 0.00 0.07 504
0.03 1.04 0.57 -0.76 9.95 -0.04 0.00 0.07 510
0.02 1.08 0.51 -0.78 10.06 -0.05 0.00 0.07 517
0.00 1.12 0.50 -0.77 10.22 -0.05 0.01 0.07 523
0.01 1.19 0.59 -0.78 10.01 -0.05 0.02 0.07 530
0.01 1.23 0.63 -0.71 9.99 -0.04 0.01 0.08 536
0.00 1.28 0.24 -0.85 9.51 -0.04 0.02 0.08 542
-0.01 1.25 0.62 -0.66 10.06 -0.03 0.01 0.08 548
-0.01 1.28 0.62 -0.68 10.06 -0.02 0.01 0.08 555
-0.01 1.33 0.61 -0.70 10.00 -0.01 0.01 0.07 561
-0.00 1.26 0.62 -0.71 10.00 -0.01 0.01 0.07 567
-0.01 1.26 0.63 -0.69 10.10 -0.01 0.01 0.08 573
0.00 1.26 0.67 -0.71 9.97 -0.01 -0.03 0.07 579
-0.00 1.22 0.68 -0.72 9.99 -0.01 -0.00 0.08 586
-0.00 1.17 0.67 -0.68 9.97 0.00 -0.01 0.08 592
-0.00 1.16 0.68 -0.69 9.91 0.00 -0.02 0.07 599
0.00 1.16 0.67 -0.69 9.95 0.01 -0.03 0.08 605
0.00 1.16 0.63 -0.71 9.98 0.01 -0.03 0.08 611
0.00 1.14 0.64 -0.67 10.00 0.01 -0.04 0.08 617
-0.00 1.12 0.71 -0.67 9.90 0.01 -0.05 0.07 623
0.01 1.11 0.62 -0.71 9.98 0.01 -0.05 0.07 629
0.01 1.09 0.63 -0.72 9.95 0.01 -0.05 0.07 635
0.01 1.08 0.61 -0.73 9.96 0.01 -0.05 0.07 642
0.01 1.06 0.60 -0.70 10.03 0.01 -0.05 0.07 648
0.03 1.05 0.60 -0.71 9.99 0.00 -0.05 0.07 655
0.04 1.04 0.59 -0.72 10.01 0.00 -0.04 0.06 661
0.02 1.02 0.61 -0.72 9.98 -0.00 -0.04 0.07 667
0.02 1.00 0.59 -0.76 9.98 -0.00 -0.03 0.06 673
0.02 0.97 0.62 -0.73 9.96 -0.01 -0.03 0.07 679
0.03 0.98 0.59 -0.74 9.98 -0.00 -0.03 0.06 686
0.02 0.97 0.57 -0.70 9.96 -0.00 -0.03 0.07 692
0.02 0.94 0.57 -0.72 9.96 -0.00 -0.03 0.07 698
0.02 0.91 0.61 -0.68 10.03 -0.00 -0.02 0.07 704
0.04 0.92 0.59 -0.68 9.96 -0.00 -0.02 0.07 710
0.03 0.90 0.62 -0.70 9.94 -0.00 -0.02 0.06 716
0.03 0.90 0.59 -0.74 9.94 0.00 -0.02 0.06 723
0.02 0.87 0.63 -0.73 9.89 -0.00 -0.01 0.05 730
0.04 0.86 0.60 -0.71 9.90 -0.00 -0.01 0.06 736
0.04 0.86 0.65 -0.72 9.93 -0.00 -0.01 0.06 742
0.03 0.85 0.62 -0.71 9.91 -0.00 -0.01 0.06 748
0.03 0.84 0.62 -0.73 9.98 -0.01 -0.01 0.06 754
0.03 0.84 0.63 -0.71 9.93 -0.00 -0.01 0.06 760
0.05 0.84 0.62 -0.69 10.04 -0.01 -0.00 0.05 766
0.03 0.83 0.66 -0.74 9.89 -0.01 -0.00 0.06 773
0.04 0.80 0.59 -0.71 9.95 -0.01 -0.00 0.06 779
0.04 0.80 0.63 -0.71 9.95 -0.00 -0.00 0.06 785
0.04 0.76 0.59 -0.69 9.93 -0.00 0.03 0.06 791
0.04 0.77 0.63 -0.70 9.94 -0.00 0.01 0.05 797
0.04 0.74 0.63 -0.71 10.03 0.00 0.01 0.05 804
0.04 0.73 0.64 -0.69 9.92 0.00 0.01 0.05 811
0.04 0.71 0.72 -0.72 9.90 0.01 0.01 0.05 817
0.05 0.70 0.69 -0.68 10.07 0.01 0.01 0.05 823
0.04 0.61 1.22 -0.70 9.93 0.01 0.02 0.05 829
0.05 0.54 0.71 -0.71 9.90 0.01 0.01 0.05 835
0.05 0.56 0.64 -0.73 9.96 0.01 0.01 0.05 841
0.07 0.51 0.69 -0.68 9.94 0.01 0.01 0.05 847
0.07 0.46 0.67 -0.67 10.14 0.01 0.01 0.05 854
0.07 0.42 0.70 -0.70 10.11 0.02 -0.00 0.06 860
0.08 0.36 0.66 -0.70 10.13 0.03 0.00 0.06 866
0.11 0.32 0.71 -0.71 10.08 0.03 0.00 0.06 873
0.12 0.28 0.69 -0.78 10.13 0.03 0.00 0.06 879
0.13 0.18 0.69 -0.81 10.06 0.04 0.00 0.06 885
0.15 0.13 0.73 -0.72 10.09 0.05 0.01 0.06 891
0.19 0.10 0.80 -0.82 10.10 0.05 0.01 0.06 898
0.23 0.05 0.74 -1.02 10.08 0.06 0.01 0.06 904
0.24 0.02 0.76 -0.75 10.23 0.08 0.02 0.06 910
0.26 0.01 0.86 -1.15 10.29 0.10 0.03 0.05 916
0.28 -0.02 0.90 -1.32 9.82 0.16 0.05 0.05 923
0.26 -0.02 0.76 -0.85 10.24 0.24 0.10 0.01 929
0.30 -0.02 1.18 -0.81 11.32 0.44 0.20 -0.03 935
0.32 -0.02 1.55 -0.97 13.29 0.88 0.39 -0.09 942
0.32 -0.02 2.20 -1.10 16.37 1.77 0.67 -0.21 948
0.32 -0.03 2.64 -1.15 18.78 2.56 0.62 -0.41 954
0.30 -0.00 2.31 -1.20 19.39 3.14 0.20 -0.59 960
0.29 -0.02 2.08 -0.93 18.71 3.55 -0.01 -0.61 967
0.29 -0.02 2.78 -1.62 18.60 3.88 -0.13 -0.65 973
0.23 -0.01 2.64 -1.10 18.92 4.18 -0.23 -0.71 979
0.24 -0.01 3.32 -1.02 19.19 4.28 -0.31 -0.73 986
0.16 -0.02 4.25 -2.61 17.51 4.28 -0.27 -0.79 992
0.12 -0.00 3.20 -3.02 18.11 4.28 -0.09 -0.84 998
0.12 -0.01 2.48 -3.84 19.30 4.28 0.18 -0.79 1005
0.07 -0.01 3.99 -4.34 22.32 4.28 0.36 -0.75 1011
0.06 -0.00 4.60 -5.02 23.64 4.28 0.49 -0.79 1017
0.10 -0.01 5.11 -4.23 25.78 4.28 0.36 -0.89 1024
0.08 -0.01 4.55 -3.20 25.26 4.28 0.10 -1.02 1030
0.06 -0.01 2.93 -3.02 23.90 4.20 -0.21 -1.08 1036
0.08 -0.01 3.04 -1.82 23.73 3.98 -0.53 -1.14 1043
0.07 -0.01 3.55 0.68 21.44 3.72 -0.85 -1.22 1049
0.07 -0.01 3.88 2.42 18.17 3.58 -1.05 -1.27 1055
0.08 -0.01 4.06 6.91 14.53 3.49 -1.09 -1.23 1061
0.04 -0.00 6.46 19.64 12.59 3.17 -1.08 -1.26 1068
0.04 -0.00 5.18 16.37 7.93 2.47 -0.80 -1.42 1074
0.06 0.00 7.47 12.19 9.10 1.79 -0.60 -1.51 1081
0.05 -0.00 8.27 14.47 11.75 0.91 -0.29 -1.51 1087
0.03 -0.00 6.95 14.77 10.41 0.27 0.08 -1.55 1093
0.05 -0.01 5.84 12.31 8.09 -0.06 0.33 -1.60 1099
0.05 -0.01 4.67 10.67 5.38 -0.23 0.40 -1.57 1105
0.04 -0.00 3.37 10.32 3.58 -0.33 0.39 -1.45 1113
0.05 0.00 2.54 10.07 3.18 -0.40 0.34 -1.35 1119
0.04 0.00 2.61 9.59 3.71 -0.45 0.24 -1.22 1125
0.03 -0.00 3.06 9.09 4.06 -0.49 0.16 -1.07 1131
0.04 -0.00 3.58 8.99 4.27 -0.55 0.11 -0.90 1137
0.05 -0.01 3.80 9.22 4.57 -0.63 0.12 -0.73 1143
0.04 -0.00 3.72 9.11 4.97 -0.75 0.16 -0.57 1149
0.04 -0.00 3.54 8.69 5.56 -0.88 0.22 -0.39 1156
0.04 0.00 3.41 8.25 6.18 -1.03 0.28 -0.24 1163
0.05 -0.01 3.23 7.73 6.78 -1.17 0.34 -0.07 1169
0.04 -0.00 3.13 7.14 7.69 -1.32 0.40 0.08 1175
