Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.08 -0.00 2.37 1.00 7.17 0.41 -2.49 2.95 23
0.07 -0.01 1.00 0.80 7.65 0.24 -2.17 2.42 29
0.06 -0.01 0.58 0.40 8.47 0.14 -1.81 1.80 35
0.06 -0.01 -1.49 0.35 9.66 0.07 -1.52 1.16 41
0.04 -0.00 -2.78 0.74 10.48 -0.02 -1.35 0.65 48
0.05 -0.01 -3.47 1.26 10.42 -0.14 -1.37 0.07 54
0.07 -0.01 -3.15 1.53 10.31 -0.24 -1.57 -0.41 60
0.06 -0.01 -3.07 1.56 10.44 -0.37 -1.87 -0.83 66
0.06 -0.01 -2.48 1.46 10.21 -0.47 -2.12 -1.17 72
0.06 -0.01 -1.21 1.04 10.04 -0.57 -2.39 -1.33 78
0.08 -0.00 -0.29 0.79 10.22 -0.67 -2.60 -1.48 84
0.08 -0.01 0.59 0.48 10.17 -0.73 -2.78 -1.58 91
0.08 -0.01 1.36 0.08 10.00 -0.75 -2.91 -1.63 97
0.07 -0.01 1.90 -0.23 10.04 -0.73 -2.98 -1.65 103
0.07 -0.01 2.41 -0.13 9.59 -0.69 -3.00 -1.63 109
0.07 -0.01 1.48 -2.27 10.93 -0.67 -2.97 -1.58 116
0.06 -0.01 4.14 -1.40 13.29 -0.66 -2.71 -1.35 122
0.05 -0.01 7.46 -0.13 13.12 -0.80 -2.38 -1.17 129
0.05 0.00 8.58 0.22 11.86 -0.89 -2.08 -1.03 135
0.06 -0.01 7.43 0.21 11.58 -1.03 -1.80 -0.93 141
0.05 -0.00 7.06 -0.33 10.38 -1.16 -1.64 -0.83 147
0.04 -0.00 7.50 -1.54 10.00 -1.24 -1.40 -0.65 153
0.04 -0.00 8.05 -2.05 10.24 -1.30 -1.14 -0.42 159
0.06 -0.01 8.36 -2.09 10.50 -1.37 -0.92 -0.22 165
0.04 -0.00 8.50 -2.37 10.32 -1.41 -0.72 -0.04 173
0.04 -0.00 8.46 -2.68 9.91 -1.43 -0.50 0.15 179
0.05 -0.00 8.25 -2.92 9.52 -1.42 -0.31 0.36 185
0.05 -0.00 8.07 -3.19 9.06 -1.39 -0.13 0.55 191
0.05 -0.01 7.78 -3.32 8.88 -1.34 0.01 0.76 197
0.05 -0.00 7.53 -3.45 8.93 -1.29 0.17 0.95 203
0.04 -0.00 7.23 -3.65 9.10 -1.22 0.36 1.12 209
0.05 -0.01 6.99 -3.66 9.53 -1.13 0.56 1.24 216
0.06 -0.01 6.74 -3.56 10.41 -1.06 0.83 1.37 222
0.06 -0.01 6.24 -3.42 10.09 -1.02 1.10 1.48 228
0.05 -0.01 5.55 -3.37 10.20 -1.00 1.37 1.58 234
0.05 -0.01 -0.76 -8.02 10.77 -0.98 1.60 1.66 240
0.07 -0.01 3.68 -4.96 12.43 -0.94 1.93 1.61 246
0.06 -0.01 -0.92 -3.35 11.25 -1.06 1.96 1.58 253
0.06 -0.01 1.65 -2.92 11.85 -1.05 1.99 1.57 260
0.06 -0.01 0.25 -4.22 7.74 -0.99 1.97 1.54 266
0.07 -0.01 -0.56 -6.14 9.15 -0.92 1.80 1.51 272
0.07 -0.01 0.80 -5.20 12.05 -0.85 1.65 1.45 278
0.06 -0.01 -1.02 -5.23 11.59 -0.81 1.57 1.33 284
0.07 -0.01 -1.10 -4.91 11.20 -0.78 1.49 1.20 290
0.07 -0.01 -0.99 -4.31 11.49 -0.78 1.45 1.04 296
0.06 -0.01 -0.88 -4.28 10.34 -0.77 1.45 0.90 303
0.06 -0.01 -0.35 -4.24 10.47 -0.75 1.48 0.75 309
0.05 -0.01 0.86 -3.86 10.27 -0.74 1.47 0.61 316
0.06 -0.01 -1.48 -4.53 9.44 -0.69 1.32 0.51 322
0.06 -0.01 -1.58 -4.43 9.64 -0.61 1.26 0.44 328
0.05 -0.01 0.37 -4.04 10.78 -0.58 1.26 0.41 334
0.05 -0.00 0.38 -3.57 11.22 -0.58 1.21 0.39 340
0.05 -0.00 0.38 -3.59 10.88 -0.59 1.19 0.39 347
0.04 -0.00 0.12 -3.78 11.09 -0.61 1.15 0.40 353
0.05 -0.00 0.28 -3.48 11.37 -0.65 1.05 0.42 359
0.04 -0.00 0.30 -3.46 11.10 -0.69 0.97 0.41 365
0.05 -0.00 0.28 -3.53 10.73 -0.73 0.84 0.39 371
