Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.10 0.95 0.74 -0.99 9.86 0.00 -0.04 0.13 23
0.10 0.95 0.71 -1.01 9.86 0.00 -0.03 0.12 29
0.10 0.96 0.70 -0.99 9.87 0.00 -0.04 0.13 35
0.11 0.95 0.75 -1.00 9.85 -0.00 -0.04 0.14 41
0.10 0.95 0.74 -1.00 9.89 0.00 -0.03 0.13 48
0.09 0.95 0.75 -0.97 9.80 0.00 -0.03 0.13 54
0.08 0.95 0.75 -1.00 9.88 0.00 -0.03 0.12 60
0.10 0.95 0.70 -1.02 9.87 -0.00 -0.03 0.12 66
0.10 0.96 0.74 -0.99 9.84 -0.00 -0.04 0.13 72
0.10 0.95 0.74 -1.02 9.86 0.00 -0.04 0.13 78
0.10 0.95 0.75 -1.02 9.89 -0.00 -0.04 0.13 84
0.10 0.94 0.76 -1.02 9.83 -0.00 -0.04 0.12 91
0.09 0.95 0.74 -1.02 9.87 0.00 -0.04 0.13 97
0.10 0.96 0.73 -1.03 9.85 -0.00 -0.04 0.13 103
0.10 0.95 0.70 -1.03 9.88 -0.00 -0.04 0.13 109
0.10 0.95 0.76 -0.99 9.87 0.00 -0.04 0.14 115
0.09 0.95 0.75 -1.00 9.86 0.00 -0.04 0.13 121
0.09 0.95 0.71 -0.99 9.86 -0.00 -0.04 0.13 128
0.11 0.96 0.72 -1.01 9.87 0.00 -0.04 0.13 135
0.11 0.95 0.74 -1.01 9.88 0.00 -0.04 0.13 141
0.10 0.94 0.74 -1.01 9.88 -0.00 -0.04 0.13 147
0.09 0.95 0.71 -1.01 9.88 0.03 -0.03 0.13 153
0.10 0.96 0.75 -0.98 9.87 0.00 -0.04 0.13 159
0.10 0.96 0.74 -0.99 9.88 0.00 -0.03 0.13 165
0.09 0.95 0.76 -0.99 9.88 -0.00 -0.03 0.13 172
0.09 0.95 0.73 -1.01 9.87 0.00 -0.03 0.13 178
0.10 0.96 0.73 -1.02 9.87 0.00 -0.03 0.12 184
0.10 0.96 0.73 -1.03 9.83 -0.00 -0.03 0.13 190
0.09 0.95 0.71 -1.02 9.85 -0.00 -0.00 0.13 196
0.09 0.95 0.75 -1.03 9.89 -0.00 -0.03 0.13 203
0.10 0.95 0.75 -1.01 9.87 0.00 -0.03 0.12 209
0.10 0.96 0.75 -1.00 9.88 -0.00 -0.03 0.13 216
0.10 0.96 0.72 -1.03 9.90 -0.00 -0.03 0.13 222
0.10 0.94 0.73 -1.00 9.90 -0.00 -0.03 0.13 228
0.09 0.95 0.73 -1.02 9.87 -0.00 -0.03 0.13 234
