Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.00 0.00 1.78 2.81 9.04 -0.66 -0.08 -0.02 17
0.00 0.00 1.80 2.49 8.98 -0.73 -0.06 -0.02 23
0.00 0.00 1.74 2.09 8.65 -0.77 -0.06 -0.02 29
0.00 0.00 1.70 1.66 8.61 -0.80 -0.04 -0.02 35
-0.00 0.00 1.69 1.17 8.70 -0.81 -0.01 -0.02 41
0.01 -0.00 1.72 0.75 8.75 -0.81 0.06 -0.02 48
0.00 0.00 1.71 0.34 8.73 -0.80 0.07 -0.03 54
0.00 0.00 1.59 -0.12 8.72 -0.77 0.13 -0.03 60
0.00 0.00 1.38 -0.50 8.70 -0.74 0.20 -0.04 66
0.00 0.00 1.20 -0.69 8.81 -0.69 0.21 -0.05 72
0.00 0.00 0.96 -0.93 8.91 -0.64 0.24 -0.05 78
0.00 0.00 0.81 -1.06 9.09 -0.60 0.30 -0.05 84
0.01 -0.00 0.62 -1.07 9.49 -0.56 0.28 -0.05 91
0.00 0.00 0.63 -0.91 9.83 -0.55 0.31 -0.05 97
0.00 0.00 0.73 -0.81 10.14 -0.57 0.33 -0.05 103
0.00 0.00 0.69 -0.85 10.48 -0.63 0.37 -0.06 110
0.00 0.00 0.64 -1.02 10.72 -0.70 0.41 -0.06 117
0.00 0.00 0.48 -1.25 10.85 -0.80 0.42 -0.06 124
0.00 -0.00 0.29 -1.56 10.65 -0.88 0.40 -0.05 132
0.00 0.00 0.16 -1.83 10.22 -0.93 0.35 -0.04 139
0.00 0.00 0.19 -1.88 9.94 -0.95 0.30 -0.04 146
0.00 0.00 0.30 -1.89 9.85 -0.95 0.26 -0.04 152
0.00 0.00 0.40 -1.88 9.83 -0.94 0.24 -0.04 158
0.00 0.00 0.52 -1.92 9.82 -0.94 0.22 -0.05 164
0.00 0.00 0.56 -2.12 9.82 -0.94 0.21 -0.07 171
0.00 0.00 0.49 -2.47 9.77 -0.94 0.20 -0.09 177
0.00 0.00 0.44 -2.67 9.82 -0.93 0.19 -0.10 183
0.00 0.00 0.34 -3.20 9.82 -0.92 0.17 -0.13 189
0.00 0.00 0.27 -3.57 9.83 -0.90 0.16 -0.14 195
0.00 0.00 0.19 -3.88 9.89 -0.86 0.14 -0.16 201
0.00 0.00 0.18 -4.13 10.04 -0.83 0.13 -0.16 207
0.00 0.00 0.24 -4.36 10.08 -0.81 0.14 -0.14 215
0.00 0.00 0.22 -4.46 10.03 -0.80 0.15 -0.11 222
0.00 0.00 0.21 -4.54 9.95 -0.79 0.16 -0.06 229
0.00 0.00 0.25 -4.66 9.74 -0.77 0.16 -0.02 235
0.00 0.00 0.18 -4.85 9.64 -0.75 0.15 0.04 241
0.00 0.00 0.24 -4.95 9.50 -0.68 0.13 0.09 247
0.00 0.00 0.37 -4.98 9.53 -0.66 0.12 0.14 253
0.02 -0.00 0.51 -5.04 9.68 -0.61 0.12 0.18 260
0.00 0.00 0.48 -5.27 9.81 -0.57 0.15 0.23 267
0.01 -0.00 0.80 -5.12 8.90 -0.53 0.17 0.26 273
0.00 0.00 0.45 -4.60 10.58 -0.52 0.20 0.29 280
0.00 0.00 -0.55 -5.08 10.44 -0.49 0.20 0.29 287
0.00 0.00 -0.33 -4.78 11.69 -0.45 0.17 0.29 294
0.00 0.00 -0.15 -4.21 8.14 -0.40 0.14 0.27 302
0.00 0.00 0.20 -5.75 11.49 -0.41 0.08 0.24 308
0.00 0.00 -1.73 -5.48 9.80 -0.39 -0.02 0.22 315
0.00 0.00 -1.02 -4.23 8.77 -0.38 -0.07 0.19 321
0.00 0.00 -1.73 -6.41 9.36 -0.36 -0.13 0.14 327
0.00 0.00 -1.18 -5.41 8.60 -0.31 -0.23 0.09 334
0.01 -0.00 -1.82 -6.45 11.45 -0.29 -0.30 0.02 340
