Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.07 -0.01 -2.42 -1.48 11.95 0.97 -0.79 1.40 17
0.06 -0.01 -1.76 -1.53 12.89 0.88 -0.94 1.41 24
0.04 -0.00 -0.83 -0.41 13.50 0.78 -1.01 1.34 31
0.03 -0.00 -1.25 0.73 12.70 0.60 -0.95 1.15 38
0.03 -0.00 -2.64 0.93 11.74 0.30 -0.91 0.55 46
0.00 0.00 -4.36 0.56 9.90 -0.03 -0.86 -0.19 53
0.00 0.00 -3.71 0.98 9.30 -0.15 -0.80 -0.74 59
0.00 0.00 -3.61 1.34 12.64 -0.38 -0.63 -1.30 65
0.01 -0.00 -3.11 1.24 11.91 -0.73 -0.44 -1.86 72
0.01 -0.00 -3.52 0.33 11.03 -0.82 -0.48 -2.37 79
0.00 0.00 -3.58 -0.25 10.43 -0.85 -0.56 -2.75 87
0.00 -0.00 -3.06 -0.63 9.93 -0.82 -0.74 -3.02 94
0.01 -0.00 -2.44 -1.04 9.77 -0.78 -0.95 -3.18 101
0.02 -0.00 -1.95 -1.21 9.85 -0.73 -1.15 -3.22 108
0.01 -0.00 -0.91 -1.44 10.03 -0.69 -1.36 -3.19 115
0.00 -0.00 0.15 -1.68 9.87 -0.66 -1.51 -3.08 122
0.00 0.00 1.26 -1.95 9.55 -0.64 -1.62 -2.96 130
0.00 0.00 2.01 -2.43 9.01 -0.58 -1.68 -2.79 137
0.01 -0.00 2.33 -2.78 8.97 -0.50 -1.70 -2.64 143
0.02 -0.00 2.98 -3.22 9.11 -0.38 -1.69 -2.50 150
0.00 -0.00 3.36 -3.48 9.07 -0.26 -1.61 -2.32 157
0.00 -0.00 3.65 -3.44 8.95 -0.13 -1.53 -2.15 164
0.00 0.00 3.63 -3.19 8.66 -0.02 -1.41 -1.93 172
0.01 -0.00 3.68 -2.01 7.87 0.06 -1.33 -1.72 178
0.01 -0.00 3.82 -2.35 8.93 0.12 -1.21 -1.50 185
0.01 -0.00 4.23 -1.85 9.27 0.12 -1.06 -1.22 192
0.00 -0.00 4.33 -1.65 9.29 0.09 -0.93 -0.97 199
0.00 0.00 4.44 -1.40 9.21 0.00 -0.72 -0.67 206
0.00 0.00 4.48 -1.27 9.06 -0.08 -0.50 -0.39 212
0.00 -0.00 4.39 -1.25 9.03 -0.19 -0.31 -0.16 219
0.00 -0.00 4.00 -1.47 9.13 -0.31 -0.06 0.15 226
0.00 -0.00 3.41 -1.99 9.32 -0.38 0.08 0.46 233
0.00 0.00 2.69 -2.50 9.16 -0.43 0.16 0.69 240
0.00 0.00 2.17 -2.80 8.76 -0.43 0.16 0.89 246
0.00 0.00 1.99 -2.94 8.60 -0.43 0.12 1.06 252
0.00 0.00 1.76 -3.02 8.48 -0.40 0.05 1.17 259
0.02 -0.00 1.71 -2.94 8.37 -0.38 -0.04 1.28 265
0.00 -0.00 1.87 -2.84 8.41 -0.34 -0.12 1.39 272
0.00 0.00 2.06 -2.64 8.53 -0.29 -0.17 1.41 279
0.00 0.00 2.29 -2.41 8.50 -0.28 -0.17 1.44 285
0.00 0.00 2.34 -2.38 8.91 -0.28 -0.14 1.44 291
0.00 0.00 2.42 -2.44 9.21 -0.29 -0.08 1.43 297
0.00 0.00 2.34 -2.51 9.36 -0.30 0.00 1.40 304
-0.00 0.00 2.28 -2.56 9.41 -0.32 0.10 1.36 310
0.00 0.00 2.22 -2.74 9.39 -0.34 0.21 1.29 317
0.00 0.00 2.02 -2.79 9.21 -0.35 0.29 1.23 323
0.00 0.00 1.77 -2.78 9.07 -0.37 0.35 1.17 329
0.00 0.00 1.58 -2.90 9.03 -0.38 0.39 1.09 335
0.00 0.00 1.49 -2.93 9.13 -0.38 0.41 1.02 342
0.00 0.00 1.39 -2.94 9.07 -0.38 0.42 0.96 348
0.01 -0.00 1.48 -2.89 9.12 -0.36 0.43 0.89 354
0.00 0.00 1.56 -2.81 9.21 -0.35 0.45 0.81 361
0.00 0.00 1.65 -2.48 9.04 -0.33 0.47 0.75 367
0.00 0.00 1.76 -2.61 9.52 -0.32 0.51 0.68 373
0.00 0.00 1.90 -2.62 9.52 -0.32 0.56 0.62 379
0.00 0.00 1.85 -2.63 9.58 -0.33 0.63 0.58 386
0.00 0.00 1.71 -2.59 9.48 -0.33 0.69 0.54 392
0.00 -0.00 1.51 -2.59 9.45 -0.34 0.74 0.51 398
0.00 0.00 1.30 -2.59 9.51 -0.35 0.79 0.50 405
0.00 0.00 1.04 -2.73 9.65 -0.34 0.81 0.52 411
0.00 0.00 0.84 -2.75 9.75 -0.33 0.79 0.55 417
0.00 0.00 0.72 -2.79 9.67 -0.33 0.73 0.58 423
0.00 0.00 0.79 -2.77 9.66 -0.32 0.66 0.63 430
0.01 -0.00 0.96 -2.77 9.75 -0.33 0.61 0.68 436
0.00 0.00 1.21 -2.79 9.88 -0.35 0.56 0.73 443
0.00 0.00 1.45 -2.92 10.01 -0.36 0.57 0.78 449
0.00 0.00 1.54 -2.99 9.98 -0.37 0.59 0.82 456
0.00 0.00 1.57 -2.98 9.95 -0.38 0.64 0.86 462
0.00 0.00 1.54 -3.10 9.92 -0.37 0.70 0.90 468
0.00 0.00 1.41 -3.20 9.91 -0.37 0.74 0.92 475
0.02 -0.00 1.24 -3.30 9.92 -0.36 0.80 0.94 481
0.00 0.00 1.08 -3.42 9.94 -0.35 0.84 0.96 488
0.00 0.00 0.90 -3.47 9.95 -0.33 0.87 0.96 494
0.00 0.00 0.69 -3.37 9.91 -0.31 0.90 0.96 500
0.00 0.00 0.49 -3.23 9.91 -0.30 0.92 0.96 506
0.00 0.00 0.32 -3.10 9.98 -0.28 0.93 0.95 513
0.00 0.00 0.06 -3.01 10.17 -0.27 0.94 0.93 519
0.00 0.00 -0.19 -2.96 10.34 -0.27 0.94 0.89 526
0.00 0.00 -0.62 -2.95 10.57 -0.29 0.93 0.86 533
0.00 0.00 -1.07 -3.00 10.67 -0.32 0.91 0.80 540
0.00 0.00 -1.33 -3.64 10.71 -0.37 0.88 0.76 547
0.00 0.00 -1.60 -3.16 10.50 -0.42 0.83 0.68 555
0.01 -0.00 -1.77 -3.19 10.47 -0.46 0.80 0.61 562
0.00 0.00 -1.73 -3.24 10.39 -0.48 0.78 0.56 569
0.00 0.00 -1.71 -3.33 10.30 -0.49 0.75 0.51 576
0.00 0.00 -1.58 -3.40 10.25 -0.49 0.73 0.47 583
0.00 0.00 -1.46 -3.43 10.24 -0.48 0.70 0.46 590
0.00 0.00 -1.35 -3.47 10.22 -0.49 0.69 0.46 598
0.00 0.00 -1.37 -3.57 10.14 -0.50 0.68 0.47 605
0.00 0.00 -1.47 -3.72 10.04 -0.51 0.69 0.50 612
0.00 0.00 -1.70 -3.99 9.87 -0.50 0.69 0.53 619
0.00 0.00 -2.00 -4.05 9.81 -0.48 0.67 0.56 625
0.00 0.00 -2.27 -4.11 9.67 -0.44 0.64 0.59 631
0.00 0.00 -2.49 -4.14 9.52 -0.40 0.60 0.62 637
0.00 -0.00 -2.76 -4.11 9.45 -0.35 0.54 0.64 644
0.00 0.00 -2.96 -3.94 9.54 -0.30 0.48 0.66 651
0.00 0.00 -2.95 -3.80 9.82 -0.25 0.44 0.66 657
0.00 0.00 -2.81 -3.63 10.03 -0.24 0.41 0.65 663
0.00 0.00 -2.74 -3.42 10.31 -0.24 0.41 0.62 670
0.00 0.00 -2.87 -3.24 10.24 -0.28 0.45 0.56 677
0.00 0.00 -3.30 -3.08 10.07 -0.32 0.47 0.50 685
0.00 0.00 -3.69 -3.02 9.76 -0.34 0.46 0.44 692
0.00 0.00 -4.16 -2.98 9.68 -0.34 0.41 0.38 698
0.00 0.00 -4.48 -3.06 9.50 -0.31 0.35 0.32 704
0.00 0.00 -4.62 -3.02 9.25 -0.26 0.27 0.25 710
0.00 0.00 -4.61 -2.93 9.12 -0.21 0.26 0.18 716
0.00 0.00 -4.48 -2.84 9.13 -0.17 0.24 0.09 722
0.00 -0.00 -4.25 -2.68 9.26 -0.14 0.26 0.00 729
0.00 0.00 -4.07 -2.42 9.28 -0.13 0.31 -0.09 736
0.00 0.00 -4.03 -2.16 9.08 -0.14 0.36 -0.18 742
0.00 0.00 -14.14 -2.87 7.26 0.14 -0.85 -0.13 748
0.00 0.00 -5.77 -0.38 6.22 0.16 -1.06 -0.18 755
0.00 0.00 -6.44 -2.97 8.26 0.16 -1.23 -0.18 761
0.01 -0.00 -6.93 -4.26 9.45 0.16 -1.42 -0.27 769
0.00 0.00 -8.29 2.99 15.80 0.68 -0.60 -0.08 776
0.00 0.00 -14.35 -7.16 16.14 0.32 -0.73 -0.04 783
0.00 0.00 -0.00 0.70 12.69 -0.09 -0.15 -0.14 790
-0.00 0.01 -0.03 -1.35 9.58 -0.16 0.12 -0.04 797
-0.00 0.01 0.38 -1.14 9.11 -0.20 0.09 -0.05 804
-0.00 0.03 0.45 -0.50 9.10 -0.22 0.06 -0.04 812
-0.00 0.03 0.56 -1.00 10.41 -0.25 0.08 -0.03 819
-0.01 0.09 0.52 -0.86 10.62 -0.21 0.16 -0.03 826
-0.01 0.09 0.46 -0.83 10.25 -0.14 0.14 -0.04 833
-0.02 0.17 0.46 -0.82 9.98 -0.10 0.12 -0.05 840
-0.02 0.20 0.43 -0.88 9.90 -0.07 0.09 -0.05 847
0.00 0.21 0.37 -0.87 9.88 -0.05 0.07 -0.05 855
0.01 0.21 0.40 -0.92 9.83 -0.04 0.06 -0.05 862
0.01 0.19 0.43 -0.89 9.80 -0.04 0.05 -0.06 869
-0.01 0.21 0.37 -0.87 9.70 -0.04 0.03 -0.06 876
-0.01 0.23 0.40 -0.88 9.77 -0.04 0.02 -0.06 883
0.02 0.22 0.43 -0.88 9.79 -0.05 0.01 -0.06 890
0.03 0.23 0.42 -0.85 9.74 -0.05 0.01 -0.06 898
0.04 0.24 0.42 -0.90 9.78 -0.06 0.02 -0.07 905
0.06 0.21 0.32 -0.87 9.75 -0.10 0.02 -0.07 912
0.04 0.24 0.30 -0.86 9.81 -0.07 0.04 -0.07 919
0.08 0.23 0.29 -0.83 9.80 -0.07 0.05 -0.07 926
0.11 0.26 0.30 -0.85 9.81 -0.06 0.05 -0.06 933
