Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
-0.00 0.53 0.46 -0.71 9.75 -0.00 0.05 -0.06 24
0.00 0.52 0.47 -0.71 9.74 0.00 0.05 -0.05 31
-0.00 0.52 0.44 -0.70 9.72 0.00 0.05 -0.06 37
-0.00 0.50 0.46 -0.70 9.78 0.00 0.05 -0.06 45
0.01 0.48 0.44 -0.71 9.76 0.01 0.06 -0.06 52
0.01 0.44 0.46 -0.68 9.70 0.01 0.06 -0.06 59
0.02 0.43 0.47 -0.73 9.77 0.01 0.06 -0.06 66
0.02 0.41 0.45 -0.72 9.78 0.02 0.06 -0.06 73
0.02 0.37 0.46 -0.74 9.77 0.02 0.06 -0.06 80
0.02 0.37 0.51 -0.71 9.81 0.02 0.06 -0.06 88
0.04 0.37 0.46 -0.75 9.81 0.02 0.06 -0.07 95
0.04 0.30 0.52 -0.67 9.79 0.03 0.06 -0.06 102
0.03 0.25 0.50 -0.68 9.79 0.03 0.06 -0.06 109
0.03 0.16 0.53 -0.74 9.79 0.03 0.07 -0.07 116
0.04 0.22 0.53 -0.69 9.82 0.04 0.07 -0.07 123
0.04 0.20 0.53 -0.72 9.81 0.04 0.07 -0.07 131
0.05 0.11 0.56 -0.73 9.87 0.06 0.07 -0.06 138
0.05 0.04 0.58 -0.75 9.90 0.09 0.08 -0.07 145
0.05 0.00 1.13 -0.77 9.91 0.11 0.09 -0.08 152
0.03 0.01 0.58 -0.75 9.98 0.14 0.10 -0.08 159
0.05 0.00 0.59 -0.77 10.04 0.18 0.13 -0.09 166
0.06 0.00 0.59 -0.78 10.19 0.24 0.15 -0.08 174
0.05 -0.01 0.76 -0.83 10.45 0.34 0.20 -0.10 181
0.04 -0.00 1.35 -0.89 11.72 0.53 0.26 -0.18 188
0.04 -0.00 1.92 -0.83 12.57 1.08 0.44 -0.30 195
0.02 -0.00 1.07 -1.50 15.24 1.68 0.41 -0.38 202
0.05 -0.00 1.19 -1.56 14.88 2.12 0.29 -0.41 209
