Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.05 0.27 0.87 -0.60 10.33 -0.14 0.07 0.07 17
0.05 0.28 1.17 -0.63 10.53 -0.09 0.07 0.05 23
0.06 0.25 0.96 -0.56 10.34 -0.04 0.07 0.03 29
0.06 0.27 0.66 -0.74 10.15 -0.01 0.08 0.03 35
0.05 0.30 0.59 -0.76 10.10 -0.00 0.09 0.03 41
0.05 0.29 0.67 -0.87 10.07 0.00 0.10 0.03 48
0.07 0.28 0.64 -0.89 10.00 -0.01 0.10 0.04 54
0.06 0.27 0.70 -0.91 10.02 -0.02 0.10 0.04 60
0.05 0.28 0.82 -0.95 9.94 -0.03 0.09 0.05 66
0.05 0.29 0.95 -0.91 9.95 -0.05 0.08 0.04 72
0.07 0.28 0.90 -0.84 10.05 -0.05 0.07 0.05 78
0.08 0.28 0.85 -0.81 9.96 -0.05 0.06 0.04 86
0.07 0.25 0.79 -0.88 9.99 -0.05 0.05 0.04 92
0.07 0.25 0.85 -0.79 10.04 -0.05 0.04 0.05 98
0.06 0.28 0.86 -0.71 10.02 -0.04 0.04 0.05 104
0.07 0.32 0.86 -0.69 10.03 -0.03 0.03 0.05 110
0.07 0.31 0.87 -0.71 10.07 -0.03 0.02 0.05 116
0.05 0.33 0.91 -0.71 10.05 -0.02 0.00 0.05 122
0.05 0.32 0.86 -0.74 10.03 -0.01 -0.01 0.05 129
0.07 0.34 0.85 -0.72 9.96 -0.02 -0.02 0.04 135
0.05 0.35 0.82 -0.76 10.01 -0.02 -0.03 0.04 141
0.04 0.33 0.80 -0.75 9.95 -0.02 -0.04 0.04 148
0.05 0.36 0.82 -0.79 9.95 -0.03 -0.05 0.04 154
0.07 0.41 0.87 -0.80 9.96 -0.04 -0.06 0.04 160
0.05 0.38 0.83 -0.74 9.98 -0.04 -0.06 0.04 166
0.06 0.35 0.78 -0.72 10.04 -0.04 -0.06 0.04 173
0.06 0.40 0.80 -0.76 10.04 -0.04 -0.05 0.04 179
0.07 0.40 0.77 -0.72 9.96 -0.04 -0.05 0.04 185
0.06 0.42 0.81 -0.71 10.02 -0.03 -0.05 0.04 191
0.05 0.43 0.78 -0.73 10.04 -0.04 -0.06 0.04 197
0.05 0.42 0.81 -0.75 10.01 -0.03 -0.06 0.04 204
0.07 0.42 0.79 -0.67 10.03 -0.03 -0.06 0.03 210
0.06 0.41 0.81 -0.72 9.99 -0.03 -0.07 0.03 217
0.05 0.40 0.80 -0.73 10.02 -0.03 -0.07 0.02 223
0.06 0.46 0.79 -0.71 10.06 -0.03 -0.07 0.02 229
0.07 0.46 0.79 -0.71 10.04 -0.03 -0.08 0.02 235
0.06 0.44 0.81 -0.73 10.02 -0.03 -0.08 0.02 241
0.05 0.45 0.79 -0.75 9.99 -0.03 -0.07 0.01 247
0.06 0.43 0.79 -0.74 9.97 -0.03 -0.07 0.02 253
0.06 0.44 0.78 -0.74 9.97 -0.07 -0.08 0.02 261
0.06 0.42 0.76 -0.67 9.99 -0.03 -0.08 0.01 267
0.05 0.45 0.80 -0.76 10.03 -0.03 -0.08 0.01 273
0.06 0.48 0.78 -0.72 10.00 -0.03 -0.08 0.01 279
0.06 0.47 0.77 -0.71 10.01 -0.03 -0.08 0.01 285
0.06 0.47 0.77 -0.74 10.05 -0.03 -0.07 0.01 291
0.06 0.50 0.79 -0.73 10.03 -0.02 -0.07 0.01 297
0.07 0.50 0.74 -0.71 10.10 -0.02 -0.06 0.02 304
0.06 0.50 0.74 -0.72 10.05 -0.01 -0.06 0.02 311
0.04 0.52 0.76 -0.72 10.03 -0.01 -0.05 0.02 317
0.06 0.50 0.74 -0.72 10.02 -0.01 -0.05 0.02 323
