Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
1.30 -0.06 0.95 -1.54 10.43 0.43 0.00 -0.12 17
1.33 -0.07 0.96 -1.59 10.44 0.50 -0.00 -0.13 23
1.34 -0.05 0.88 -1.58 10.45 0.56 -0.01 -0.14 29
1.37 -0.05 0.89 -1.67 10.45 0.61 -0.02 -0.14 35
1.40 -0.06 0.87 -1.65 10.48 0.64 -0.03 -0.14 41
1.42 -0.07 0.86 -1.75 10.45 0.69 -0.03 -0.14 48
1.42 -0.06 0.90 -1.69 10.51 0.74 -0.04 -0.14 55
1.45 -0.06 0.93 -1.26 10.80 0.79 -0.05 -0.16 61
1.48 -0.06 0.80 -1.89 10.49 0.84 -0.05 -0.14 67
1.48 -0.07 0.72 -1.96 10.52 0.89 -0.06 -0.13 73
1.50 -0.06 0.75 -1.94 10.56 0.95 -0.06 -0.13 79
1.50 -0.07 0.79 -2.11 10.58 1.03 -0.07 -0.12 86
1.48 -0.06 0.92 -2.26 10.85 1.06 -0.06 -0.12 92
1.47 -0.07 0.84 -2.20 10.45 1.13 -0.04 -0.13 98
1.47 -0.06 0.86 -2.28 10.84 1.19 -0.03 -0.13 105
1.46 -0.06 0.79 -2.35 10.61 1.26 -0.00 -0.13 111
1.40 -0.06 0.86 -2.43 10.22 1.33 0.03 -0.13 117
1.38 -0.04 0.76 -2.52 10.77 1.40 0.06 -0.12 123
1.33 -0.06 0.72 -2.62 11.02 1.51 0.11 -0.12 130
1.29 -0.06 0.56 -2.69 10.82 1.63 0.20 -0.11 136
1.17 -0.04 0.46 -2.79 10.95 1.71 0.27 -0.08 142
1.15 -0.05 0.35 -2.89 11.75 1.81 0.30 -0.05 149
1.01 -0.05 0.66 -3.27 12.23 1.97 0.40 -0.03 155
0.87 -0.03 0.88 -3.33 12.15 2.17 0.46 -0.02 161
0.86 -0.03 0.73 -3.47 12.15 2.37 0.61 -0.01 167
0.73 -0.03 0.56 -3.51 12.58 2.56 0.77 0.01 174
0.62 -0.03 0.22 -3.80 12.57 2.73 0.99 0.06 180
0.50 -0.03 0.34 -4.01 12.93 2.95 1.26 0.12 187
0.37 -0.02 -0.25 -4.17 12.82 3.16 1.49 0.19 193
0.29 -0.02 0.02 -4.35 12.56 3.30 1.73 0.30 199
0.23 -0.01 0.02 -5.09 13.94 3.36 1.81 0.40 205
0.17 -0.01 0.25 -5.69 15.61 3.53 1.88 0.51 211
0.14 -0.01 1.00 -6.42 16.69 3.74 2.03 0.59 218
0.14 -0.01 0.88 -7.08 16.91 3.95 2.24 0.66 224
0.13 -0.00 0.89 -7.55 17.03 4.05 2.44 0.78 231
0.12 -0.01 1.30 -8.13 17.70 4.10 2.62 0.88 237
0.09 -0.01 1.94 -8.61 18.74 4.15 2.75 0.96 243
0.08 -0.01 1.69 -8.68 18.54 4.17 2.84 1.05 249
0.07 -0.01 2.82 -8.67 18.89 4.16 2.96 1.13 256
0.07 -0.01 4.44 -8.82 18.58 4.12 3.24 1.26 262
0.06 -0.01 6.12 -8.69 19.51 4.05 3.85 1.30 268
0.05 -0.00 6.40 -7.98 19.50 3.95 4.28 1.29 274
0.06 -0.01 4.27 -7.07 20.25 3.86 4.28 1.18 280
0.05 -0.00 1.18 -5.88 21.37 3.81 4.28 1.00 287
0.05 -0.01 -2.09 -4.53 21.13 3.73 4.28 0.79 293
0.06 -0.01 -4.75 -1.33 20.19 3.61 4.28 0.55 300
0.06 -0.01 -7.12 0.29 20.05 3.34 4.15 0.30 306
0.05 -0.00 -8.92 2.83 17.71 3.09 3.05 0.21 312
0.05 -0.00 -9.08 7.65 11.57 2.74 2.03 0.22 318
0.04 -0.00 -18.58 13.00 2.21 2.42 0.58 -0.52 324
0.05 -0.00 -8.92 8.45 7.30 1.56 -2.37 -1.68 330
0.03 -0.00 -8.01 10.53 10.92 -0.27 -3.55 -2.29 336
0.03 -0.00 -2.40 7.43 15.87 -1.42 -3.71 -2.65 344
0.04 0.00 0.34 4.18 16.56 -1.86 -3.53 -3.03 350
0.04 -0.00 1.72 1.10 15.46 -2.01 -3.11 -3.59 356
0.04 -0.00 1.85 0.48 13.55 -2.10 -2.52 -4.07 362
0.03 -0.00 1.75 1.27 11.64 -2.13 -1.92 -4.28 368
0.04 -0.00 1.47 2.26 10.55 -2.16 -1.52 -4.28 374
0.04 -0.00 1.20 2.84 9.91 -2.27 -1.38 -4.28 380
0.03 -0.00 1.06 3.26 10.12 -2.46 -1.40 -4.28 387
0.02 -0.00 1.32 3.71 9.90 -2.71 -1.49 -4.28 393
0.03 -0.00 1.57 3.61 10.10 -2.98 -1.64 -4.28 399
0.04 -0.00 2.15 3.18 9.96 -3.24 -1.82 -4.28 406
0.03 -0.00 2.57 2.56 9.99 -3.45 -2.01 -4.28 412
0.03 -0.00 2.59 2.17 10.51 -3.65 -2.14 -4.28 418
0.02 -0.00 1.97 1.72 10.78 -3.81 -2.21 -4.04 424
0.04 -0.00 2.74 1.08 10.73 -3.91 -2.18 -3.57 431
0.04 -0.00 4.34 0.55 10.21 -4.01 -2.35 -3.15 437
0.05 -0.01 5.24 0.02 9.80 -4.10 -2.66 -2.82 443
0.04 -0.00 5.82 -0.73 9.70 -4.15 -2.97 -2.53 449
0.05 0.00 6.58 -1.56 9.44 -4.19 -3.14 -2.26 455
0.04 -0.00 7.77 -1.97 9.45 -4.21 -3.19 -2.04 461
0.04 -0.00 9.01 -2.42 9.57 -4.21 -3.07 -1.81 467
0.03 -0.00 9.96 -2.97 9.46 -4.19 -2.79 -1.61 474
0.05 0.01 10.80 -3.80 9.20 -4.16 -2.34 -1.45 481
0.05 -0.01 11.29 -4.50 8.91 -4.09 -1.81 -1.31 487
0.04 -0.00 11.73 -5.11 8.74 -3.99 -1.32 -1.17 493
0.03 0.00 11.63 -5.30 8.67 -3.84 -0.73 -1.06 499
0.06 -0.01 11.12 -5.57 8.92 -3.66 -0.18 -0.90 505
0.04 -0.00 10.43 -6.04 9.19 -3.48 0.30 -0.69 512
0.02 -0.00 9.64 -6.44 9.65 -3.30 0.62 -0.44 518
0.03 -0.00 8.91 -6.67 10.24 -3.17 0.83 -0.16 524
0.05 0.00 8.54 -6.84 10.83 -3.02 0.94 0.13 531
0.04 -0.00 8.24 -7.21 11.34 -2.88 1.04 0.41 537
0.04 -0.00 7.81 -7.56 11.95 -2.77 1.14 0.67 543
0.03 -0.00 7.84 -7.87 12.44 -2.65 1.28 0.94 549
0.03 -0.00 7.50 -8.41 12.78 -2.56 1.42 1.17 556
0.04 -0.00 7.17 -8.78 13.33 -2.49 1.60 1.38 562
0.03 -0.00 6.63 -9.28 13.63 -2.42 1.80 1.58 568
0.02 -0.00 6.13 -9.88 14.16 -2.37 1.93 1.74 574
0.02 -0.00 5.38 -10.51 14.36 -2.33 2.04 1.88 580
0.03 -0.00 4.66 -11.14 14.65 -2.31 2.06 2.02 587
0.02 -0.00 4.18 -11.47 14.75 -2.28 2.01 2.14 593
0.02 -0.00 3.81 -11.55 14.68 -2.25 1.89 2.23 600
0.03 -0.00 3.71 -11.67 14.46 -2.23 1.76 2.28 606
0.03 -0.00 3.80 -11.75 14.17 -2.20 1.62 2.29 612
0.02 -0.00 4.04 -11.73 13.76 -2.15 1.51 2.25 618
0.03 -0.00 4.26 -11.78 13.38 -2.07 1.44 2.17 625
0.02 -0.00 4.45 -11.80 13.12 -1.98 1.41 2.06 631
0.03 -0.00 4.61 -11.86 12.96 -1.87 1.44 1.92 637
0.04 -0.00 4.77 -11.82 12.95 -1.75 1.52 1.79 644
0.03 -0.00 4.85 -11.71 12.89 -1.63 1.63 1.62 650
0.02 -0.00 4.91 -11.58 12.99 -1.51 1.78 1.45 656
0.03 -0.00 4.91 -11.41 13.04 -1.40 1.97 1.28 663
0.03 -0.00 4.86 -11.19 12.97 -1.31 2.18 1.10 669
0.01 -0.00 4.58 -10.94 13.01 -1.25 2.40 0.95 675
0.03 -0.00 4.15 -10.67 13.05 -1.20 2.59 0.82 681
0.03 -0.00 3.62 -10.32 13.06 -1.17 2.72 0.71 688
0.03 -0.00 3.03 -10.14 13.06 -1.15 2.83 0.63 694
0.02 -0.00 2.50 -9.99 13.13 -1.15 2.85 0.55 700
0.03 -0.00 1.97 -9.81 13.19 -1.16 2.81 0.48 706
0.03 -0.00 1.36 -9.59 13.09 -1.17 2.72 0.42 713
0.03 -0.00 0.77 -9.45 12.77 -1.18 2.61 0.36 719
0.02 -0.00 0.20 -9.30 12.44 -1.18 2.46 0.31 726
0.03 -0.00 -0.18 -9.20 12.11 -1.17 2.32 0.26 732
0.02 -0.00 -0.56 -9.05 11.67 -1.15 2.18 0.22 738
0.03 -0.00 -0.64 -9.00 11.29 -1.11 2.06 0.15 744
0.03 -0.00 -0.62 -9.04 10.85 -1.06 1.97 0.07 750
0.04 -0.00 -0.52 -9.08 10.67 -1.01 1.90 -0.02 756
0.04 -0.00 -0.48 -9.18 10.55 -0.96 1.88 -0.12 762
0.04 -0.00 -0.50 -9.23 10.57 -0.90 1.89 -0.23 769
0.03 -0.00 -0.76 -9.21 10.46 -0.87 1.89 -0.32 776
0.04 -0.00 -1.17 -9.05 10.32 -0.84 1.86 -0.42 782
0.04 -0.00 -1.77 -8.85 9.88 -0.80 1.79 -0.51 788
0.04 -0.00 -2.22 -8.71 9.33 -0.76 1.69 -0.59 794
0.02 -0.00 -2.65 -8.56 8.65 -0.68 1.61 -0.62 800
0.03 -0.00 -3.01 -8.51 8.28 -0.55 1.58 -0.59 806
0.04 -0.00 -3.47 -8.53 8.26 -0.40 1.56 -0.54 813
0.04 -0.00 -3.86 -8.60 8.36 -0.23 1.48 -0.46 819
0.03 -0.00 -4.23 -8.75 8.57 -0.06 1.28 -0.38 825
0.03 -0.00 -4.61 -8.67 8.92 0.05 0.97 -0.30 831
0.03 -0.00 -4.87 -8.52 9.15 0.13 0.69 -0.18 837
0.03 -0.00 -4.93 -8.33 9.32 0.18 0.32 -0.11 843
0.03 -0.00 -4.78 -8.41 9.42 0.21 -0.06 -0.00 849
0.03 -0.00 -4.43 -8.64 9.24 0.22 -0.40 0.09 856
0.03 -0.00 -13.05 -8.50 15.05 0.40 -1.01 0.35 862
0.04 -0.00 -15.23 -7.15 14.60 1.37 -3.37 1.07 869
0.04 -0.00 1.65 -2.72 8.01 1.10 -3.83 1.17 875
0.04 -0.00 3.11 0.54 7.68 1.14 -4.05 1.01 881
0.04 -0.00 5.84 2.00 9.68 1.15 -3.72 1.11 887
0.01 -0.00 7.69 2.73 10.41 1.13 -3.25 1.31 893
0.03 -0.00 5.44 4.62 12.21 1.08 -2.84 1.58 900
0.03 -0.00 3.20 3.68 12.67 1.01 -2.45 1.81 906
0.03 -0.00 0.36 2.56 11.44 0.94 -2.19 1.86 912
0.03 -0.00 0.00 1.42 8.22 0.88 -2.14 1.80 918
0.04 -0.00 -1.55 1.80 7.42 0.96 -2.21 1.64 924
0.05 0.05 -4.56 3.16 10.57 1.13 -2.09 1.42 930
0.03 0.16 -6.80 3.04 12.03 1.41 -1.81 1.12 936
0.02 0.24 -7.64 2.17 10.49 1.62 -1.58 0.72 944
0.02 0.38 -7.87 1.42 11.67 1.81 -1.44 0.31 950
0.03 0.42 -5.50 0.01 12.86 1.94 -1.29 -0.14 956
0.00 0.45 -2.83 -0.61 12.58 1.99 -1.10 -0.46 962
0.01 0.44 0.41 -0.82 12.83 1.98 -0.85 -0.64 968
0.02 0.53 2.89 -1.46 13.43 1.96 -0.64 -0.63 974
0.01 0.55 4.89 -2.36 15.30 1.93 -0.65 -0.48 982
0.01 0.56 5.30 -2.48 21.67 1.41 -1.54 -0.21 988
0.02 0.61 2.66 -1.70 11.87 0.77 -1.27 0.11 994
0.01 0.66 0.31 -2.01 14.37 0.52 -1.12 0.17 1000
0.02 0.64 0.43 -1.24 11.13 0.28 -0.80 0.12 1006
0.01 0.76 0.24 -0.62 11.23 0.19 -0.68 0.06 1013
0.01 0.77 0.71 -0.53 10.00 0.12 -0.58 0.02 1019
0.00 0.76 0.91 -0.72 10.13 0.08 -0.50 0.02 1026
0.01 0.84 0.86 -0.65 10.33 0.05 -0.41 0.03 1032
0.00 0.87 0.68 -0.97 10.10 0.01 -0.29 0.04 1038
0.02 0.89 0.54 -0.80 10.13 -0.02 -0.20 0.04 1045
0.00 0.95 0.59 -0.82 10.23 -0.03 -0.14 0.03 1051
-0.01 0.96 0.68 -0.80 10.07 -0.02 -0.12 0.03 1057
-0.01 0.98 0.62 -0.84 10.13 -0.02 -0.09 0.03 1063
0.00 0.97 0.69 -0.77 10.03 -0.02 -0.07 0.04 1070
-0.01 0.94 0.73 -0.73 9.94 -0.01 -0.06 0.05 1076
0.00 0.99 0.74 -0.77 10.10 -0.01 -0.06 0.05 1083
0.01 1.00 0.77 -0.76 10.00 -0.01 -0.06 0.05 1089
-0.00 0.97 0.79 -0.69 9.97 -0.00 -0.06 0.05 1095
-0.01 0.96 0.72 -0.69 10.02 -0.00 -0.06 0.06 1101
0.01 0.94 0.71 -0.69 10.06 -0.01 -0.06 0.06 1107
0.01 0.87 0.69 -0.70 10.06 -0.00 -0.06 0.06 1115
0.02 0.87 0.74 -0.71 10.03 -0.00 -0.06 0.06 1121
0.03 0.82 0.74 -0.71 9.95 -0.00 -0.06 0.05 1127
0.03 0.81 0.77 -0.68 9.98 0.00 -0.07 0.05 1133
0.01 0.79 0.75 -0.68 9.98 0.00 -0.09 0.04 1139
0.04 0.76 0.73 -0.66 9.99 0.00 -0.09 0.04 1145
0.02 0.72 0.73 -0.70 9.90 0.00 -0.10 0.03 1152
0.03 0.69 0.75 -0.69 9.94 0.00 -0.11 0.03 1159
0.03 0.68 0.75 -0.68 9.93 -0.00 -0.11 0.03 1165
0.06 0.63 0.70 -0.69 10.01 -0.00 -0.12 0.03 1171
0.05 0.61 0.68 -0.66 9.98 -0.01 -0.12 0.03 1177
0.07 0.57 0.67 -0.72 10.00 -0.01 -0.12 0.03 1183
0.09 0.56 0.64 -0.68 10.11 -0.01 -0.12 0.03 1189
0.09 0.52 0.67 -0.70 10.02 -0.01 -0.12 0.03 1197
0.07 0.49 0.68 -0.68 9.99 -0.01 -0.12 0.03 1203
0.08 0.52 0.73 -0.68 10.03 -0.01 -0.12 0.03 1209
0.07 0.46 0.69 -0.72 9.91 -0.01 -0.11 0.03 1215
0.09 0.43 0.65 -0.74 9.95 -0.01 -0.10 0.03 1221
0.10 0.46 0.64 -0.72 10.00 -0.01 -0.09 0.03 1227
