Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.46 -0.03 0.78 -1.68 11.79 1.90 0.01 -0.20 24
0.46 -0.02 0.78 -1.81 11.75 1.96 -0.03 -0.20 32
0.49 -0.02 0.89 -1.93 11.86 2.08 -0.06 -0.19 39
0.51 -0.02 0.52 -1.87 11.39 2.16 -0.08 -0.18 47
0.51 -0.03 0.33 -1.95 11.13 2.24 -0.11 -0.16 54
0.49 -0.01 0.86 -2.38 11.66 2.35 -0.09 -0.15 61
0.46 -0.02 0.40 -2.47 11.42 2.45 -0.06 -0.14 68
0.45 -0.02 0.70 -2.94 11.68 2.59 -0.01 -0.12 75
0.41 -0.01 0.68 -2.98 12.31 2.75 0.06 -0.09 82
0.41 -0.02 1.20 -3.18 12.57 2.98 0.11 -0.09 90
0.30 -0.02 1.17 -3.28 12.90 3.20 0.14 -0.12 97
0.25 -0.03 0.94 -3.91 13.77 3.40 0.16 -0.15 103
0.23 -0.02 1.02 -4.34 14.09 3.65 0.19 -0.15 111
0.20 -0.02 0.98 -4.95 14.74 3.86 0.23 -0.15 118
0.16 -0.01 1.15 -5.62 16.60 4.07 0.27 -0.15 125
0.16 -0.02 1.53 -6.51 18.23 4.20 0.34 -0.14 132
0.14 -0.01 1.91 -6.07 16.54 4.26 0.42 -0.15 139
0.13 -0.01 2.22 -7.08 19.10 4.28 0.52 -0.17 146
0.13 -0.01 1.78 -6.89 18.97 4.28 0.67 -0.19 153
0.11 -0.01 1.17 -6.59 18.80 4.28 0.75 -0.22 160
0.09 -0.01 0.72 -5.83 18.57 4.28 0.80 -0.24 167
0.11 -0.01 0.12 -5.78 18.02 4.28 0.78 -0.25 175
0.06 -0.01 -0.18 -5.83 18.07 4.28 0.75 -0.24 182
0.04 -0.00 -0.37 -5.79 20.41 4.28 0.66 -0.23 189
0.02 -0.00 -0.34 -6.04 24.87 4.28 0.38 -0.24 196
0.02 -0.00 0.91 -5.87 23.93 4.28 0.09 -0.26 203
0.01 -0.00 3.11 -2.97 20.70 4.28 -0.14 -0.27 210
0.00 -0.00 4.95 -0.47 13.59 4.28 -0.09 -0.28 218
0.00 0.00 6.64 3.71 10.69 3.77 0.23 -0.27 225
0.00 0.00 7.47 10.62 7.56 3.07 0.73 -0.43 232
0.00 0.00 7.36 14.10 7.32 2.47 1.75 -0.72 239
0.00 0.00 1.50 21.81 7.07 2.11 2.41 -1.55 246
0.00 0.00 -0.86 11.06 25.97 1.44 2.34 -2.30 253
0.00 0.00 -2.50 8.88 23.47 -0.55 2.00 -2.70 261
0.00 0.00 -3.64 11.29 15.35 -1.35 1.49 -2.85 268
0.00 0.00 -3.24 11.56 12.12 -1.85 0.73 -2.93 275
0.00 0.00 -1.85 10.08 9.39 -2.34 0.00 -2.96 282
0.00 0.00 -0.76 8.30 8.73 -2.66 -0.44 -2.95 289
0.00 -0.00 -0.08 6.38 9.06 -2.78 -0.72 -2.91 295
0.00 0.00 0.54 5.16 8.47 -2.89 -0.87 -2.83 303
0.00 0.00 1.16 5.12 8.79 -2.96 -0.96 -2.75 309
0.00 0.00 1.71 4.96 8.20 -3.06 -1.01 -2.62 316
0.00 0.00 2.14 4.81 7.69 -3.14 -0.99 -2.49 322
0.00 0.00 2.60 4.66 7.50 -3.27 -0.87 -2.32 329
0.00 0.00 2.97 4.46 7.35 -3.40 -0.67 -2.14 335
0.00 0.00 3.25 4.14 7.54 -3.49 -0.42 -1.90 343
0.00 0.00 3.33 3.72 7.87 -3.60 -0.09 -1.70 349
0.00 0.00 3.21 3.14 8.49 -3.73 0.31 -1.44 355
0.00 0.00 3.07 2.65 9.13 -3.83 0.71 -1.08 362
0.00 0.00 2.59 2.38 9.44 -3.94 1.06 -0.84 368
0.00 0.00 1.92 2.04 9.86 -4.04 1.30 -0.53 374
0.01 -0.00 1.33 1.74 10.44 -4.13 1.43 -0.23 380
0.00 0.00 0.74 1.01 10.90 -4.19 1.49 0.05 388
0.00 0.00 0.29 0.04 11.68 -4.23 1.44 0.35 395
0.00 0.00 0.07 -0.59 12.29 -4.25 1.42 0.56 402
0.00 0.00 0.17 -1.27 12.79 -4.25 1.41 0.75 409
0.00 0.00 0.08 -2.38 13.28 -4.22 1.45 0.85 416
0.00 0.00 0.06 -2.44 13.57 -4.19 1.58 0.88 423
0.00 0.00 -0.07 -3.11 13.88 -4.15 1.77 0.85 431
0.00 0.00 -0.34 -3.29 14.20 -4.10 1.96 0.79 438
0.00 0.00 -0.96 -3.48 15.03 -4.05 2.16 0.70 445
0.00 0.00 -1.78 -3.41 15.74 -3.99 2.30 0.62 452
0.00 0.00 -2.68 -3.45 16.20 -3.92 2.38 0.59 459
0.00 0.00 -3.47 -3.58 16.36 -3.84 2.35 0.58 466
0.00 0.00 -4.18 -3.96 16.83 -3.74 2.25 0.58 474
0.00 0.00 -5.12 -4.56 17.02 -3.61 1.98 0.57 481
0.00 0.00 -5.44 -5.34 17.73 -3.49 1.63 0.53 488
0.00 0.00 -5.47 -5.79 17.80 -3.32 1.24 0.48 495
0.00 0.00 -4.66 -6.27 18.17 -3.20 0.83 0.39 502
0.00 0.00 -3.84 -6.57 18.42 -3.12 0.54 0.30 509
0.00 0.00 -2.81 -7.13 18.64 -3.12 0.31 0.19 517
0.00 0.00 -1.91 -7.71 18.82 -3.15 0.20 0.10 524
0.00 0.00 -1.31 -8.38 18.85 -3.19 0.15 0.05 531
0.00 0.00 -0.86 -9.11 18.36 -3.20 0.19 0.03 538
0.00 -0.00 -0.66 -9.71 17.69 -3.18 0.28 0.04 545
0.00 0.00 -0.79 -10.49 17.17 -3.10 0.36 0.06 552
0.00 0.00 -0.98 -11.60 16.57 -3.01 0.40 0.12 560
0.00 0.00 -0.67 -24.53 20.44 -2.76 0.37 0.20 567
0.00 0.00 1.43 -12.27 4.04 -1.75 0.56 0.31 574
0.00 0.00 -2.14 -11.09 6.91 -2.16 0.42 0.40 581
0.00 0.00 -1.92 -18.67 11.97 -2.38 0.20 0.51 588
0.00 0.00 -2.43 -16.48 10.98 -2.11 0.32 0.61 595
0.00 0.00 -3.95 -16.26 13.64 -2.20 0.22 0.61 603
0.00 0.00 -2.25 -21.33 13.33 -2.27 0.08 0.58 610
0.00 0.00 -1.36 -17.01 11.32 -2.02 0.18 0.51 617
0.00 0.00 -1.46 -21.70 12.73 -1.82 0.28 0.43 624
0.00 0.00 -1.39 -24.11 13.33 -1.30 0.52 0.31 631
0.00 0.00 -1.29 -22.19 -7.67 -1.00 0.77 0.19 638
0.00 -0.00 -2.26 -23.28 15.79 -0.04 0.98 0.01 646
0.00 0.00 -3.65 -25.68 3.06 0.07 0.86 -0.16 653
0.00 0.00 -4.49 -25.04 7.17 0.80 0.65 -0.37 660
0.00 -0.00 -4.94 -25.83 3.23 1.42 0.16 -0.60 667
0.00 -0.00 -3.34 -29.78 0.05 1.88 -0.33 -0.86 674
0.00 0.01 -2.64 -29.65 -1.16 2.41 -0.82 -1.08 683
0.01 0.04 1.13 0.47 2.77 3.18 -0.97 -1.22 689
-0.00 0.08 3.04 -3.04 12.75 3.67 -0.95 -1.24 697
-0.02 0.25 6.22 0.47 27.81 3.99 -1.11 -1.08 704
-0.01 0.44 4.74 -0.04 21.85 3.48 -1.05 -0.82 711
-0.03 0.57 3.92 -2.55 19.11 2.96 -1.07 -0.59 718
-0.03 0.54 2.34 -3.66 15.51 2.69 -1.08 -0.32 726
-0.06 0.60 1.77 -3.91 15.30 2.81 -0.87 -0.06 732
-0.03 0.61 -0.22 -3.61 20.45 3.03 -0.64 0.06 740
-0.03 0.65 -2.23 -2.23 22.83 2.02 -1.33 -0.05 747
-0.04 0.64 0.79 -1.82 11.71 0.47 -0.64 -0.07 754
-0.05 0.66 0.01 -1.99 10.80 0.14 -0.17 -0.01 760
