Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
1.36 -0.05 0.88 -1.78 12.43 1.92 -0.32 -0.16 17
1.38 -0.06 0.88 -2.06 12.60 2.04 -0.36 -0.15 23
1.43 -0.06 0.76 -1.99 12.34 2.18 -0.39 -0.15 29
1.47 -0.05 0.66 -2.20 12.49 2.33 -0.41 -0.15 35
1.49 -0.05 0.68 -2.42 12.66 2.48 -0.42 -0.15 41
1.47 -0.06 0.55 -2.59 12.86 2.64 -0.41 -0.15 48
1.47 -0.06 0.63 -2.45 12.98 2.82 -0.39 -0.15 55
1.42 -0.06 0.56 -2.62 13.34 3.00 -0.37 -0.15 61
1.40 -0.06 0.57 -2.78 13.87 3.25 -0.33 -0.14 67
1.32 -0.05 0.58 -2.89 14.46 3.54 -0.31 -0.13 73
1.24 -0.06 1.26 -3.25 14.99 3.85 -0.32 -0.15 79
1.19 -0.05 1.71 -3.46 15.26 4.14 -0.36 -0.23 86
1.04 -0.04 1.67 -4.08 16.43 4.27 -0.44 -0.32 92
0.92 -0.05 2.16 -4.44 17.31 4.28 -0.54 -0.42 99
0.77 -0.04 2.04 -5.37 18.31 4.28 -0.64 -0.50 105
0.68 -0.03 0.91 -7.26 19.89 4.28 -0.76 -0.60 111
0.59 -0.04 1.99 -8.19 22.70 4.28 -0.84 -0.62 117
0.50 -0.03 1.96 -10.78 25.20 4.28 -0.85 -0.67 123
0.47 -0.02 1.94 -12.52 28.03 4.28 -0.71 -0.65 130
0.36 -0.03 2.83 -12.62 28.38 4.28 -0.47 -0.63 137
0.29 -0.02 2.07 -11.98 26.63 4.28 -0.27 -0.64 143
0.26 -0.02 1.21 -10.07 26.48 4.28 -0.12 -0.66 149
0.21 -0.02 0.57 -8.07 25.12 4.28 -0.17 -0.72 155
0.14 -0.01 0.19 -5.49 25.96 4.28 -0.38 -0.75 161
0.13 -0.01 1.01 -4.26 26.05 4.28 -0.68 -0.79 167
0.10 -0.01 2.85 -1.89 25.47 4.28 -0.94 -0.82 175
0.10 -0.01 5.13 0.93 24.74 4.28 -1.11 -0.83 181
0.09 -0.00 7.08 4.17 24.25 4.28 -1.17 -0.84 187
0.06 -0.01 7.71 5.68 23.94 4.28 -0.89 -0.86 193
0.05 -0.01 8.40 8.86 18.81 4.28 -0.27 -0.92 199
0.04 -0.00 9.10 14.77 17.03 4.27 0.44 -1.20 205
0.05 -0.00 5.47 14.44 4.73 3.98 1.08 -1.83 211
0.05 -0.00 6.07 17.39 3.43 3.39 1.06 -2.32 218
0.04 -0.00 5.08 17.09 18.11 1.57 1.25 -2.56 225
0.04 -0.00 4.75 15.38 25.50 -0.36 1.75 -2.51 231
0.05 -0.01 3.28 14.07 21.54 -1.70 2.00 -2.36 237
0.04 -0.00 1.44 12.00 14.89 -2.60 1.79 -2.16 243
0.03 -0.00 0.54 10.37 11.25 -3.23 1.29 -1.86 249
0.04 0.00 0.43 8.98 10.29 -3.72 0.85 -1.56 256
0.04 -0.00 1.03 7.61 8.33 -3.99 0.53 -1.32 262
0.03 -0.00 1.47 6.19 6.89 -4.04 0.29 -1.13 268
0.03 -0.00 1.69 5.12 6.04 -4.00 0.13 -0.98 274
0.03 -0.00 1.69 4.11 5.91 -3.89 0.03 -0.85 280
0.04 0.00 1.74 3.43 5.74 -3.75 -0.00 -0.70 287
0.05 -0.01 2.14 2.96 5.99 -3.60 0.00 -0.57 293
0.05 -0.00 2.62 2.85 6.39 -3.51 0.06 -0.48 300
0.04 -0.00 2.92 2.91 6.81 -3.47 0.09 -0.42 306
0.04 -0.00 3.24 3.25 7.70 -3.50 0.20 -0.38 312
0.04 0.01 3.39 3.43 8.54 -3.59 0.37 -0.32 318
0.05 -0.00 3.31 3.48 9.52 -3.75 0.57 -0.26 324
0.04 -0.00 3.20 3.26 10.51 -3.90 0.83 -0.18 330
0.04 -0.00 3.02 3.01 11.24 -4.08 0.98 -0.08 336
0.04 -0.00 2.62 2.39 11.91 -4.19 1.19 0.01 343
0.05 -0.01 2.18 1.76 12.49 -4.26 1.33 0.11 349
0.04 -0.00 1.86 1.08 12.94 -4.28 1.42 0.20 355
0.04 -0.00 1.59 0.36 13.35 -4.28 1.48 0.27 361
0.04 -0.00 1.53 -0.34 13.64 -4.28 1.50 0.32 368
0.05 -0.01 1.39 -0.87 14.09 -4.28 1.53 0.35 374
0.04 -0.00 1.28 -1.58 14.33 -4.28 1.58 0.36 380
0.04 -0.00 1.06 -2.23 14.79 -4.28 1.66 0.35 387
0.04 -0.00 0.81 -2.85 15.09 -4.28 1.80 0.34 393
0.04 -0.00 0.72 -3.29 15.68 -4.28 1.94 0.32 399
