Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
-0.01 0.14 0.03 -13.06 0.59 0.86 -1.03 -0.99 17
-0.02 0.15 1.91 -12.01 3.41 1.45 -1.00 -1.06 24
-0.02 0.18 0.29 -5.43 8.20 1.94 -0.84 -1.02 31
-0.02 0.21 0.94 0.84 12.09 2.02 -0.67 -0.90 38
-0.02 0.21 2.15 2.11 13.40 1.80 -0.48 -0.69 46
-0.02 0.31 3.01 1.05 12.58 1.37 -0.31 -0.49 54
-0.02 0.34 2.52 -0.54 11.04 1.16 -0.14 -0.26 61
-0.03 0.39 1.93 -1.05 9.75 1.22 -0.05 -0.08 67
-0.05 0.47 1.08 -1.38 10.05 1.47 -0.01 0.06 74
-0.04 0.49 0.52 -1.41 11.42 1.57 0.01 0.13 82
-0.04 0.52 -0.27 -1.67 12.41 1.52 0.04 0.15 90
-0.03 0.54 -0.90 -2.34 12.55 1.43 0.10 0.11 97
-0.04 0.60 -1.17 -2.25 12.00 1.36 0.16 0.04 104
-0.04 0.61 -0.74 -2.06 11.75 1.32 0.18 -0.07 111
-0.06 0.65 0.10 -2.16 12.10 1.24 0.18 -0.13 118
-0.05 0.72 0.30 -2.20 11.87 1.10 0.22 -0.13 125
-0.04 0.70 0.57 -2.28 11.73 0.98 0.25 -0.09 132
-0.04 0.69 0.22 -2.91 13.94 0.44 0.07 -0.04 139
-0.04 0.75 0.32 -2.39 10.69 -0.04 0.00 -0.01 146
-0.04 0.82 -0.24 -1.88 9.95 -0.07 0.03 -0.04 153
-0.05 0.75 0.29 -1.42 9.74 -0.06 0.06 -0.04 160
-0.04 0.87 0.46 -1.55 9.73 -0.09 0.06 -0.04 167
-0.04 0.84 0.36 -1.60 9.83 -0.10 0.05 -0.04 175
-0.03 0.83 0.18 -1.31 9.56 -0.12 0.05 -0.03 182
-0.05 0.90 0.23 -1.34 9.54 -0.14 0.05 -0.03 189
-0.05 0.89 0.17 -1.39 9.73 -0.16 0.06 -0.03 196
-0.05 0.99 0.20 -1.53 9.82 -0.17 0.06 -0.03 203
-0.03 0.98 0.15 -1.44 9.76 -0.19 0.06 -0.03 210
-0.02 1.04 0.16 -1.37 9.66 -0.19 0.07 -0.03 218
-0.04 1.12 0.32 -1.49 9.69 -0.20 0.07 -0.03 225
-0.05 1.14 0.15 -1.25 9.80 -0.20 0.07 -0.03 232
-0.06 1.14 0.17 -1.26 9.82 -0.20 0.07 -0.03 239
-0.09 1.24 0.29 -1.35 9.71 -0.19 0.06 -0.03 246
-0.05 1.21 0.16 -1.08 9.82 -0.17 0.05 -0.03 253
-0.06 1.31 0.24 -1.35 9.85 -0.16 0.05 -0.03 261
-0.06 1.26 0.24 -0.64 9.78 -0.15 0.04 -0.03 268
-0.07 1.32 0.22 -1.18 9.77 -0.14 0.04 -0.03 275
-0.07 1.34 0.19 -1.20 9.81 -0.12 0.04 -0.03 282
-0.07 1.29 0.17 -1.16 9.80 -0.11 0.04 -0.03 289
-0.06 1.32 0.16 -1.16 9.81 -0.11 0.05 -0.03 296
-0.05 1.35 0.15 -1.11 9.76 -0.09 0.06 -0.03 304
-0.04 1.36 0.15 -1.14 9.84 -0.09 0.06 -0.03 311
-0.06 1.33 0.14 -1.14 9.81 -0.07 0.06 -0.03 318
-0.05 1.32 0.18 -1.11 9.80 -0.06 0.05 -0.03 325
-0.05 1.33 0.17 -1.12 9.76 -0.05 0.04 -0.02 332
-0.04 1.33 0.17 -1.10 9.79 -0.04 0.04 -0.02 339
-0.04 1.32 0.17 -1.12 9.82 -0.02 0.04 -0.02 347
-0.04 1.31 0.20 -1.11 9.75 -0.01 0.03 -0.02 354
-0.05 1.29 0.23 -1.11 9.72 0.00 0.03 -0.03 361
-0.05 1.30 0.20 -1.09 9.72 0.01 0.02 -0.03 368
-0.04 1.31 0.20 -1.10 9.74 0.01 0.02 -0.04 375
-0.04 1.27 0.19 -1.11 9.72 0.02 0.01 -0.04 382
-0.04 1.23 0.21 -1.11 9.74 0.02 0.00 -0.04 390
-0.05 1.21 0.25 -1.10 9.67 0.01 0.00 -0.04 397
-0.04 1.20 0.16 -1.08 9.69 0.01 0.00 -0.05 404
-0.05 1.21 0.18 -1.12 9.69 0.01 0.00 -0.05 411
-0.04 1.18 0.22 -1.09 9.69 0.01 0.01 -0.05 418
-0.01 1.15 0.19 -1.13 9.71 0.01 0.00 -0.05 425
-0.02 1.14 0.17 -1.14 9.72 0.01 0.00 -0.05 433
-0.04 1.13 0.19 -1.13 9.75 0.01 0.01 -0.05 440
-0.03 1.09 0.14 -1.14 9.72 0.02 0.01 -0.05 447
-0.02 1.04 0.18 -1.13 9.70 0.02 0.00 -0.05 454
-0.02 1.05 0.17 -1.13 9.70 0.02 0.00 -0.05 461
-0.02 1.08 0.19 -1.14 9.76 0.02 0.00 -0.05 468
-0.03 1.06 0.20 -1.14 9.70 0.02 0.00 -0.05 476
-0.01 1.02 0.18 -1.16 9.74 0.02 0.00 -0.05 483
-0.01 0.99 0.19 -1.15 9.69 0.02 0.00 -0.05 490
-0.01 1.00 0.15 -1.14 9.76 0.03 0.00 -0.06 497
0.02 0.96 0.20 -1.20 9.77 0.03 0.01 -0.06 504
0.03 0.96 0.15 -1.17 9.74 0.03 0.01 -0.06 512
0.04 0.94 0.17 -1.15 9.75 0.03 0.01 -0.06 519
0.02 0.91 0.15 -1.82 9.77 0.04 0.01 -0.06 526
-0.00 0.90 0.19 -1.20 9.75 0.04 0.01 -0.06 533
-0.01 0.83 0.17 -1.20 9.72 0.05 0.02 -0.06 540
0.05 0.81 0.17 -1.20 9.75 0.06 0.02 -0.06 547
0.04 0.80 0.15 -1.15 9.77 0.10 0.02 -0.06 555
0.04 0.76 0.18 -1.22 9.82 0.07 0.02 -0.06 562
0.05 0.71 0.14 -1.25 9.77 0.08 0.02 -0.06 569
0.04 0.64 0.19 -1.17 9.74 0.09 0.02 -0.07 576
0.11 0.61 0.13 -1.20 9.80 0.10 0.03 -0.07 583
0.14 0.59 0.24 -1.22 9.66 0.11 0.04 -0.07 590
0.14 0.57 0.10 -1.24 9.88 0.12 0.04 -0.07 598
0.16 0.54 0.16 -1.34 9.77 0.13 0.04 -0.07 605
0.17 0.50 0.17 -1.30 9.89 0.15 0.05 -0.08 612
0.15 0.52 0.26 -1.33 9.88 0.17 0.05 -0.08 619
0.20 0.41 0.29 -1.38 9.88 0.20 0.05 -0.08 626
0.24 0.37 0.13 -1.38 9.83 0.22 0.06 -0.09 633
0.22 0.33 0.22 -1.45 9.87 0.25 0.07 -0.09 641
0.26 0.32 0.30 -1.35 9.95 0.28 0.10 -0.10 648
0.33 0.23 0.23 -1.42 9.91 0.31 0.12 -0.11 655
0.33 0.19 0.27 -1.53 10.12 0.36 0.14 -0.12 663
0.33 0.20 0.45 -1.45 10.11 0.41 0.20 -0.14 670
0.36 0.18 0.65 -1.50 10.27 0.49 0.19 -0.17 677
0.36 0.15 0.92 -1.62 10.48 0.58 0.21 -0.20 685
0.33 0.12 0.59 -1.74 11.26 0.73 0.30 -0.24 692
0.30 0.13 -0.38 -1.90 11.36 1.02 0.30 -0.18 698
0.38 0.14 0.26 -1.89 11.33 1.19 0.26 -0.16 706
0.41 0.15 0.07 -1.88 11.44 1.34 0.25 -0.17 713
0.46 0.12 0.73 -1.95 11.73 1.50 0.21 -0.16 720
0.46 0.13 0.58 -2.17 11.44 1.62 0.22 -0.19 728
0.45 0.12 0.23 -2.15 11.53 1.77 0.17 -0.18 735
0.42 0.14 0.44 -2.48 11.41 1.92 0.17 -0.20 742
0.45 0.17 0.40 -2.68 11.53 2.10 0.16 -0.20 748
0.46 0.17 0.47 -2.78 12.07 2.29 0.18 -0.21 756
0.47 0.17 0.01 -2.94 12.16 2.44 0.15 -0.22 763
0.45 0.18 0.41 -2.76 12.12 2.60 0.17 -0.23 771
0.41 0.15 0.22 -2.87 11.59 2.75 0.16 -0.24 778
0.36 0.20 -0.09 -3.11 12.91 2.93 0.10 -0.20 784
0.35 0.23 0.84 -3.08 12.95 3.14 0.02 -0.23 792
0.32 0.24 1.22 -4.19 8.32 3.29 -0.10 -0.24 798
0.24 0.22 0.94 -4.20 13.60 3.46 -0.20 -0.28 806
0.23 0.15 1.37 -3.94 14.39 3.66 -0.32 -0.29 814
0.18 0.16 1.40 -4.52 13.96 3.80 -0.53 -0.31 821
0.12 0.13 2.63 -5.56 14.65 3.92 -0.78 -0.39 828
