Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.01 0.74 0.34 -1.01 9.88 -0.10 0.06 -0.03 24
0.02 0.76 0.32 -0.96 9.84 -0.08 0.04 -0.04 31
0.00 0.75 0.31 -0.99 9.80 -0.07 0.03 -0.04 38
-0.00 0.79 0.24 -0.99 9.82 -0.05 0.02 -0.04 46
-0.01 0.78 0.27 -0.96 9.83 -0.04 0.01 -0.04 53
0.01 0.82 0.29 -0.94 9.80 -0.02 0.00 -0.04 60
0.02 0.83 0.25 -0.94 9.86 -0.01 -0.00 -0.04 67
0.05 0.79 0.25 -0.95 9.98 0.02 -0.00 -0.04 74
0.05 0.80 0.20 -0.91 9.90 0.05 -0.01 -0.04 81
0.03 0.77 0.19 -0.92 9.87 0.08 -0.01 -0.04 89
0.05 0.74 0.17 -0.92 9.83 0.10 -0.01 -0.04 96
0.06 0.71 0.19 -0.91 9.81 0.12 -0.01 -0.04 103
0.10 0.68 0.17 -0.96 9.66 0.13 -0.02 -0.05 110
0.11 0.65 0.25 -1.03 9.76 0.14 -0.02 -0.05 117
0.14 0.51 0.24 -1.00 9.78 0.14 -0.03 -0.05 124
0.14 0.53 0.29 -1.03 9.79 0.15 -0.03 -0.06 132
0.15 0.53 0.27 -1.06 9.74 0.15 -0.04 -0.06 139
0.17 0.44 0.26 -1.07 9.73 0.15 -0.04 -0.06 146
0.20 0.41 0.21 -1.09 9.77 0.16 -0.05 -0.07 153
0.24 0.38 0.22 -1.11 9.79 0.15 -0.05 -0.07 160
0.23 0.35 0.21 -1.12 9.80 0.15 -0.04 -0.08 167
0.22 0.33 0.21 -0.89 9.76 0.16 -0.04 -0.08 175
0.25 0.23 0.32 -1.12 9.82 0.16 -0.04 -0.08 182
0.25 0.24 0.09 -1.19 9.75 0.16 -0.04 -0.08 189
0.31 0.26 0.28 -1.17 9.79 0.16 -0.04 -0.09 196
0.36 0.21 0.17 -1.16 9.82 0.16 -0.04 -0.09 203
0.38 0.14 0.23 -1.24 9.80 0.17 -0.03 -0.09 210
0.38 0.15 0.19 -1.22 9.82 0.18 -0.03 -0.09 218
0.44 0.08 0.12 -1.18 9.72 0.18 -0.02 -0.09 225
0.49 0.03 0.14 -1.31 9.80 0.18 -0.02 -0.10 232
0.50 0.01 0.12 -1.24 9.82 0.18 -0.02 -0.10 239
0.56 0.02 0.23 -1.32 9.82 0.18 -0.02 -0.11 246
0.57 -0.01 0.25 -1.32 9.84 0.19 -0.02 -0.11 253
0.61 -0.02 0.16 -1.33 9.87 0.19 -0.03 -0.11 261
0.69 -0.04 0.27 -1.39 9.94 0.20 -0.04 -0.12 268
0.72 -0.04 0.26 -1.44 9.96 0.21 -0.05 -0.13 275
0.73 -0.03 0.34 -1.42 10.02 0.22 -0.08 -0.15 283
0.76 -0.05 0.42 -1.51 10.14 0.26 -0.11 -0.18 290
0.75 -0.05 0.44 -1.53 10.32 0.31 -0.18 -0.21 297
0.81 -0.05 0.37 -1.57 10.33 0.36 -0.25 -0.23 305
