Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.00 0.00 0.38 -6.63 7.87 -0.49 -0.26 0.37 23
0.00 0.00 0.36 -6.40 7.81 -0.42 -0.21 0.14 29
0.00 0.00 -0.04 -6.16 7.68 -0.35 -0.16 -0.11 35
-0.00 0.01 -0.40 -5.82 7.61 -0.29 -0.15 -0.35 41
0.00 0.00 -0.86 -5.48 7.74 -0.20 -0.17 -0.56 49
0.00 0.00 -1.06 -5.08 8.01 -0.16 -0.19 -0.74 55
0.00 0.00 -1.42 -4.65 8.18 -0.12 -0.20 -0.89 61
0.00 0.00 -1.99 -4.26 8.32 -0.09 -0.24 -0.98 67
0.00 0.00 -2.34 -3.71 8.43 -0.06 -0.31 -1.05 73
0.00 0.00 -2.48 -3.19 8.61 -0.03 -0.38 -1.09 79
0.00 0.00 -2.52 -2.79 8.61 0.01 -0.48 -1.08 86
0.00 0.00 -2.44 -2.43 8.81 0.04 -0.57 -1.03 92
0.00 0.00 -2.28 -2.09 8.95 0.08 -0.65 -0.94 98
0.00 0.00 -1.95 -1.78 8.90 0.13 -0.71 -0.85 104
0.00 0.00 -1.64 -1.40 8.70 0.15 -0.76 -0.70 110
0.00 0.00 -1.43 -0.96 8.57 0.18 -0.79 -0.53 116
0.00 0.00 -1.16 -0.56 8.38 0.21 -0.82 -0.37 122
0.00 0.00 0.07 -1.08 8.61 0.27 -0.96 -0.17 129
0.00 -0.00 0.67 -1.42 17.82 0.97 -2.69 -0.33 135
0.00 0.00 5.53 8.03 3.26 1.05 -2.64 -0.48 142
0.00 0.02 1.82 3.02 7.48 1.19 -3.01 -0.66 148
-0.00 0.03 -1.60 -0.49 12.95 1.30 -3.76 -0.92 155
-0.00 0.04 0.00 -1.74 11.82 1.52 -4.16 -1.05 162
-0.00 0.07 0.11 -3.35 15.54 1.66 -4.13 -0.99 171
-0.01 0.12 -3.27 -5.74 22.09 1.76 -2.56 -0.53 177
-0.02 0.17 -1.68 -2.86 15.51 1.46 -1.43 -0.08 184
-0.02 0.21 -1.43 -3.74 17.53 1.23 -1.15 -0.03 191
-0.03 0.28 -0.32 -2.50 14.42 0.54 -1.08 -0.08 198
-0.02 0.29 -0.49 -1.91 11.41 0.19 -0.71 0.01 206
-0.01 0.27 -0.59 -1.43 10.56 0.15 -0.52 0.01 214
-0.03 0.33 -0.11 -0.94 10.27 0.10 -0.35 0.00 220
-0.01 0.35 -0.06 -1.00 9.96 0.04 -0.18 -0.02 227
