Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.05 -0.00 1.56 -4.06 9.93 -0.43 1.31 1.36 23
0.05 -0.01 1.51 -4.09 10.23 -0.41 1.35 1.42 29
0.05 -0.01 1.43 -4.05 10.47 -0.42 1.38 1.48 35
0.05 -0.01 1.27 -3.99 10.59 -0.45 1.38 1.54 41
0.04 -0.00 1.16 -3.99 10.65 -0.48 1.33 1.58 48
0.04 -0.00 1.11 -4.02 10.72 -0.52 1.24 1.62 54
0.05 -0.00 1.04 -4.08 10.99 -0.55 1.17 1.64 60
0.06 -0.01 0.99 -4.03 10.97 -0.60 1.08 1.67 66
0.04 -0.00 0.80 -3.94 10.78 -0.64 0.97 1.69 72
0.04 -0.00 0.72 -3.92 10.52 -0.67 0.86 1.71 78
0.05 -0.01 0.74 -4.01 10.11 -0.69 0.75 1.71 84
0.06 -0.01 0.73 -4.01 9.86 -0.67 0.69 1.67 91
0.06 -0.00 0.71 -4.16 9.67 -0.63 0.63 1.69 97
0.07 -0.01 0.80 -4.25 9.38 -0.57 0.59 1.65 103
0.06 -0.01 0.81 -4.28 9.27 -0.50 0.59 1.61 109
0.06 -0.01 0.87 -4.27 9.46 -0.43 0.60 1.55 115
0.06 -0.01 1.06 -4.28 9.73 -0.37 0.65 1.49 121
0.06 -0.01 1.24 -4.17 10.09 -0.34 0.74 1.42 129
0.07 -0.01 1.42 -4.05 10.37 -0.33 0.85 1.34 135
0.06 -0.01 1.53 -3.92 10.70 -0.37 0.97 1.25 141
0.06 -0.01 1.61 -3.98 10.73 -0.41 1.10 1.17 147
0.05 -0.01 1.63 -4.05 10.60 -0.48 1.14 1.07 153
0.06 -0.01 1.49 -4.30 10.42 -0.54 1.15 0.99 159
0.05 -0.00 1.33 -4.68 10.06 -0.58 1.12 0.89 165
0.05 -0.01 1.29 -4.96 9.71 -0.59 1.04 0.79 172
0.06 -0.01 1.35 -5.14 9.30 -0.57 0.91 0.69 178
0.06 -0.01 1.45 -5.18 8.99 -0.51 0.79 0.59 184
0.04 -0.00 1.72 -5.19 8.82 -0.44 0.67 0.52 190
0.05 -0.00 2.20 -5.06 8.78 -0.36 0.60 0.46 196
0.04 -0.00 2.72 -4.95 8.94 -0.30 0.60 0.41 202
