Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.02 0.18 0.33 -0.89 9.92 -0.04 0.07 -0.05 24
0.04 0.19 0.37 -0.80 9.81 -0.03 0.07 -0.05 31
0.04 0.20 0.34 -0.86 9.85 -0.03 0.07 -0.04 38
0.04 0.23 0.40 -0.87 9.81 -0.07 0.07 -0.04 46
0.04 0.22 0.36 -0.85 9.80 -0.04 0.07 -0.04 53
0.02 0.21 0.35 -0.80 9.78 -0.04 0.07 -0.05 60
0.03 0.25 0.36 -0.77 9.81 -0.04 0.06 -0.05 67
0.03 0.22 0.36 -0.77 9.81 -0.04 0.06 -0.05 74
0.00 0.26 0.43 -0.81 9.81 -0.05 0.05 -0.05 81
-0.00 0.22 0.39 -0.77 9.80 -0.04 0.05 -0.05 89
0.00 0.23 0.41 -0.75 9.83 -0.05 0.04 -0.05 96
-0.01 0.27 0.43 -0.77 9.81 -0.04 0.04 -0.06 103
-0.00 0.30 0.38 -0.77 9.80 -0.05 0.04 -0.06 110
0.01 0.27 0.31 -0.76 9.67 -0.05 0.04 -0.06 117
-0.00 0.32 0.35 -0.80 9.82 -0.04 0.05 -0.06 124
-0.00 0.36 0.35 -0.77 9.82 -0.04 0.05 -0.06 132
-0.01 0.35 0.34 -0.77 9.86 -0.04 0.06 -0.05 139
-0.00 0.38 0.36 -0.74 9.79 -0.04 0.06 -0.05 146
-0.00 0.39 0.39 -0.73 9.82 -0.04 0.07 -0.05 153
0.00 0.38 0.34 -0.73 9.81 -0.04 0.07 -0.05 160
0.00 0.37 0.42 -0.76 9.20 -0.04 0.06 -0.05 167
-0.01 0.40 0.41 -0.76 9.80 -0.00 0.06 -0.05 175
-0.02 0.45 0.40 -0.74 9.80 -0.03 0.06 -0.05 182
-0.01 0.43 0.37 -0.79 9.82 -0.03 0.06 -0.05 189
-0.01 0.45 0.38 -0.78 9.82 -0.03 0.05 -0.05 196
0.01 0.46 0.43 -0.73 10.41 -0.03 0.05 -0.06 203
-0.01 0.50 0.40 -0.75 9.82 -0.03 0.04 -0.06 210
-0.01 0.49 0.32 -0.77 9.82 -0.02 0.04 -0.06 218
-0.02 0.52 0.40 -0.72 9.82 -0.02 0.04 -0.06 225
-0.01 0.51 0.37 -0.70 9.77 -0.02 0.04 -0.06 232
-0.01 0.51 0.37 -0.75 9.82 -0.02 0.04 -0.06 239
-0.00 0.56 0.36 -0.71 9.80 -0.02 0.04 -0.06 246
-0.01 0.59 0.39 -0.73 9.78 -0.02 0.04 -0.06 253
-0.02 0.55 0.39 -0.73 9.85 -0.02 0.04 -0.06 261
-0.03 0.58 0.39 -0.72 9.80 -0.02 0.05 -0.06 268
-0.02 0.55 0.34 -0.74 9.79 -0.02 0.05 -0.06 275
-0.01 0.57 0.39 -0.71 9.81 -0.02 0.05 -0.06 282
-0.00 0.55 0.42 -0.75 9.79 -0.01 0.06 -0.06 289
-0.01 0.54 0.41 -0.73 9.83 -0.01 0.05 -0.06 296
-0.01 0.55 0.44 -0.72 9.82 -0.01 0.05 -0.06 304
-0.01 0.55 0.37 -0.76 9.83 -0.01 0.05 -0.06 311
-0.01 0.56 0.40 -0.76 9.81 -0.01 0.05 -0.06 318
-0.00 0.54 0.40 -0.72 9.82 -0.01 0.05 -0.06 325
-0.01 0.53 0.37 -0.74 9.20 -0.01 0.05 -0.06 332
-0.01 0.54 0.39 -0.70 9.81 -0.01 0.05 -0.07 339
-0.01 0.53 0.39 -0.70 9.79 -0.01 0.04 -0.07 347
-0.02 0.54 0.40 -0.72 9.80 -0.01 0.05 -0.06 354
