Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.05 0.26 0.48 -0.94 9.81 0.00 0.07 -0.05 24
0.05 0.23 0.49 -0.90 9.80 0.00 0.07 -0.05 31
0.04 0.20 0.48 -0.93 9.82 -0.00 0.07 -0.05 38
0.05 0.18 0.49 -0.89 9.76 0.00 0.07 -0.06 46
0.06 0.19 0.47 -0.92 9.82 0.00 0.07 -0.05 53
0.06 0.18 0.51 -0.91 9.75 0.01 0.06 -0.05 60
0.06 0.14 0.53 -0.92 9.78 0.00 0.06 -0.05 67
0.06 0.11 0.56 -0.91 9.80 0.01 0.06 -0.06 74
0.05 0.15 0.55 -0.91 9.79 0.01 0.05 -0.06 81
0.06 0.14 0.54 -0.93 9.79 0.01 0.05 -0.06 89
0.07 0.11 0.52 -0.93 9.76 0.01 0.04 -0.05 96
0.08 0.07 0.50 -0.93 9.73 0.01 0.04 -0.06 103
0.08 0.08 0.48 -0.93 9.82 0.01 0.05 -0.06 110
0.09 0.07 0.53 -0.97 9.82 0.02 0.05 -0.06 117
0.07 0.09 0.51 -0.96 9.77 0.02 0.05 -0.05 124
0.08 0.02 0.55 -0.94 9.81 0.02 0.07 -0.06 132
0.11 -0.01 0.51 -0.93 9.81 0.03 0.06 -0.06 139
0.10 0.00 0.52 -0.93 9.79 0.03 0.06 -0.05 146
0.11 -0.00 0.54 -0.96 9.81 0.04 0.07 -0.06 153
0.12 -0.01 0.57 -0.91 9.82 0.03 0.07 -0.06 160
0.12 -0.01 0.50 -0.94 9.81 0.04 0.07 -0.06 167
0.12 0.00 0.51 -0.98 9.82 0.05 0.06 -0.06 175
0.15 -0.01 0.54 -0.97 9.82 0.05 0.06 -0.06 182
0.17 -0.01 0.54 -1.00 9.80 0.06 0.06 -0.06 189
0.18 -0.02 0.54 -0.98 9.84 0.06 0.06 -0.06 196
0.17 -0.01 0.60 -1.04 9.82 0.06 0.06 -0.06 203
0.22 -0.01 0.52 -1.01 9.84 0.07 0.07 -0.06 210
0.21 -0.01 0.60 -1.03 9.83 0.08 0.07 -0.06 218
0.21 -0.02 0.27 -0.93 9.94 0.09 0.10 -0.07 225
0.21 -0.02 0.59 -1.05 9.89 0.11 0.17 -0.06 232
0.21 -0.02 0.46 -0.87 9.87 0.13 0.17 -0.07 239
0.24 -0.01 0.53 -1.04 9.82 0.16 0.20 -0.07 246
0.29 -0.01 0.68 -0.83 9.82 0.21 0.22 -0.08 253
0.30 -0.02 0.76 -1.15 10.25 0.36 0.29 -0.09 261
0.30 -0.03 0.52 -0.97 10.44 0.57 0.36 -0.09 268
0.33 -0.02 0.52 -1.04 11.35 0.87 0.39 -0.08 276
0.33 -0.03 0.82 -1.43 10.98 1.17 0.44 -0.08 283
0.33 -0.02 1.42 -1.79 12.34 1.35 0.52 -0.11 290
0.33 -0.01 0.74 -1.43 12.06 1.43 0.44 -0.12 297
0.34 -0.02 0.94 -1.31 10.84 1.53 0.40 -0.13 305
0.33 -0.02 1.18 -1.39 11.54 1.59 0.40 -0.14 312
0.28 -0.00 1.01 -1.84 11.56 1.74 0.39 -0.13 319
0.25 -0.02 0.53 -1.86 12.01 1.88 0.41 -0.13 326
0.23 -0.01 0.63 -1.81 11.80 2.01 0.45 -0.13 333
0.18 -0.01 0.67 -2.24 12.03 2.14 0.51 -0.11 340
0.14 -0.01 0.67 -2.36 11.79 2.21 0.60 -0.09 347
0.07 -0.01 0.52 -2.69 11.75 2.31 0.70 -0.06 354
0.06 -0.01 0.75 -2.74 11.54 2.41 0.83 -0.03 361
0.04 -0.00 0.52 -2.86 11.64 2.50 0.89 -0.00 368
0.04 -0.00 0.56 -3.15 11.74 2.60 0.96 0.04 375
0.04 -0.00 0.54 -3.37 11.64 2.62 1.04 0.09 382
0.06 -0.01 0.28 -3.89 11.82 2.67 1.17 0.15 390
0.06 -0.01 0.03 -4.51 12.15 2.70 1.29 0.23 397
0.06 -0.01 -0.63 -4.56 12.22 2.74 1.32 0.31 404
0.05 -0.00 -1.68 -4.36 12.50 2.76 1.25 0.46 411
0.04 -0.00 -2.50 -5.07 12.49 2.76 1.11 0.65 418
0.05 -0.01 -1.24 -6.08 12.78 2.75 0.89 0.80 425
0.03 -0.00 -0.23 -5.92 13.05 2.71 0.75 0.93 433
0.03 -0.00 0.30 -5.37 12.52 2.63 0.74 1.02 440
0.01 -0.00 -0.43 -4.35 12.88 2.41 0.73 1.07 447
0.01 -0.00 -0.82 -4.13 11.48 2.28 0.70 1.09 454
0.02 -0.00 -0.89 -4.00 12.14 2.20 0.52 1.10 461
0.02 -0.00 -0.40 -4.36 12.54 2.15 0.24 1.17 468
0.00 -0.00 -0.39 -4.01 12.38 2.11 -0.02 1.26 476
0.00 0.00 -0.41 -2.38 11.32 2.02 -0.32 1.28 483
0.00 -0.00 -0.13 -0.10 9.92 1.90 -0.65 1.29 490
0.00 0.00 -0.07 1.72 8.40 1.75 -0.97 1.23 497
0.00 0.00 0.06 3.54 6.35 1.58 -1.27 1.03 503
0.00 0.00 -1.45 5.21 6.91 1.36 -1.41 0.60 509
0.00 0.00 -2.85 4.41 6.67 0.91 -1.52 -0.00 516
0.00 0.00 0.13 3.33 6.01 0.51 -1.66 -0.59 522
0.00 0.00 -0.13 2.99 9.77 0.26 -1.73 -0.96 528
0.00 0.00 -1.44 2.74 11.38 -0.07 -1.60 -1.31 534
0.00 0.00 -0.74 2.88 10.39 -0.35 -1.56 -1.85 541
0.00 0.00 -0.09 2.99 9.44 -0.48 -1.68 -2.29 548
0.00 0.00 0.13 2.60 8.89 -0.63 -1.77 -2.51 555
0.00 0.00 0.66 2.28 8.41 -0.74 -1.81 -2.75 561
0.00 0.00 1.28 2.06 8.26 -0.88 -1.82 -2.94 567
0.00 0.00 2.12 2.05 8.31 -1.02 -1.83 -3.08 574
0.00 0.00 2.59 1.92 8.70 -1.11 -1.83 -3.19 580
-0.00 0.00 3.11 1.72 8.83 -1.24 -1.85 -3.26 587
0.00 -0.00 3.70 1.48 8.74 -1.36 -1.88 -3.31 594
0.00 0.00 4.51 1.22 8.49 -1.47 -1.88 -3.30 602
0.00 0.00 4.91 1.15 8.44 -1.58 -1.89 -3.25 608
0.00 0.00 5.86 0.87 9.07 -1.72 -1.89 -3.12 615
0.00 0.00 6.45 0.63 9.48 -1.79 -1.89 -2.97 621
0.00 0.00 7.08 0.10 9.66 -1.89 -1.87 -2.79 628
0.01 -0.00 7.83 -0.25 9.72 -1.98 -1.82 -2.60 634
0.00 0.00 8.71 -0.44 9.90 -2.10 -1.73 -2.39 642
0.00 0.00 9.41 -0.73 9.55 -2.22 -1.56 -2.15 649
0.00 0.00 10.42 -1.25 9.11 -2.32 -1.32 -1.90 656
0.00 0.00 10.09 -1.76 8.82 -2.39 -1.07 -1.68 663
0.00 0.00 10.18 -2.31 8.56 -2.39 -0.78 -1.42 670
0.00 0.00 10.11 -2.90 8.50 -2.35 -0.55 -1.15 677
0.00 0.00 10.10 -3.37 8.41 -2.24 -0.30 -0.88 685
0.00 0.00 10.10 -3.69 8.61 -2.12 -0.05 -0.56 692
0.00 0.00 10.07 -3.73 8.99 -1.99 0.18 -0.29 699
0.00 0.00 9.69 -3.80 9.26 -1.85 0.47 0.04 706
0.00 0.00 9.29 -3.84 9.61 -1.79 0.68 0.31 712
0.00 0.00 8.71 -3.94 9.99 -1.70 0.94 0.52 718
0.00 0.00 8.01 -4.06 10.58 -1.65 1.20 0.77 724
0.00 0.00 7.15 -4.15 11.28 -1.58 1.43 1.03 732
0.00 0.00 6.19 -4.12 11.70 -1.53 1.66 1.25 739
0.00 0.00 5.25 -4.26 12.06 -1.51 1.85 1.47 746
0.00 0.00 4.47 -4.47 12.31 -1.50 1.97 1.63 753
0.00 0.00 3.61 -4.81 12.60 -1.48 2.05 1.77 760
0.00 0.00 2.87 -5.17 12.88 -1.47 2.06 1.88 768
0.00 0.00 2.03 -5.30 13.08 -1.47 2.01 1.94 775
0.00 0.00 1.41 -5.47 13.16 -1.48 1.89 1.96 782
0.00 0.00 1.08 -5.55 13.09 -1.49 1.76 1.95 789
0.00 0.00 0.91 -5.65 13.08 -1.49 1.60 1.89 796
0.00 0.00 1.02 -5.83 13.07 -1.48 1.46 1.81 803
0.00 0.00 1.11 -5.94 12.98 -1.45 1.35 1.73 811
0.00 0.00 1.04 -5.82 12.62 -1.41 1.31 1.63 818
0.00 0.00 0.73 -5.60 12.29 -1.36 1.35 1.60 825
0.00 0.00 -0.09 -5.26 12.11 -1.30 1.41 1.63 832
0.00 0.00 -1.08 -5.14 12.52 -1.27 1.43 1.71 839
0.00 0.00 -1.80 -5.45 13.26 -1.24 1.37 1.77 846
0.00 0.00 -2.53 -5.60 13.27 -1.24 1.21 1.83 854
0.00 0.00 -2.76 -5.73 13.24 -1.25 1.06 1.87 861
0.00 0.00 -2.78 -5.93 12.88 -1.26 0.88 1.88 868
0.00 0.00 -2.77 -6.27 12.44 -1.25 0.71 1.84 875
0.00 0.00 -12.48 -15.46 16.90 -0.83 -0.49 1.74 882
0.00 0.00 -5.25 -9.04 7.94 -0.78 -0.70 1.63 889
0.00 0.00 -0.41 -5.42 4.91 -0.63 -0.76 1.50 896
0.00 0.00 -0.96 -9.81 4.66 -0.70 -0.56 1.33 903
0.00 0.00 0.76 -8.94 15.89 -0.17 -0.07 1.27 909
0.00 0.00 -0.94 -9.19 6.96 -0.29 0.15 0.95 916
0.00 0.00 -1.15 -8.73 8.93 -0.16 0.42 0.68 922
0.00 0.00 -3.83 -10.18 10.56 -0.01 0.55 0.44 928
