Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.25 -0.02 7.28 -5.81 12.20 1.40 -2.18 -2.10 23
0.18 -0.02 6.60 -6.10 13.23 1.36 -1.85 -2.43 29
0.13 -0.01 7.71 -5.16 13.53 1.25 -1.69 -2.76 35
0.09 -0.00 7.58 -4.15 14.58 1.10 -1.74 -3.02 41
0.08 -0.01 6.40 -4.04 15.45 0.94 -1.86 -3.24 48
0.06 -0.01 5.09 -2.57 15.59 0.68 -2.26 -3.45 54
0.04 0.00 5.54 -0.91 13.70 0.39 -2.99 -3.56 60
0.05 -0.01 5.81 -0.03 12.40 0.12 -3.69 -3.62 67
0.05 -0.01 8.45 1.49 11.49 -0.10 -4.20 -3.52 73
0.03 -0.00 13.15 2.32 11.66 -0.24 -4.03 -3.01 79
0.05 0.00 17.01 1.59 14.67 -0.39 -2.49 -2.03 86
0.05 -0.01 19.79 3.81 13.46 -0.74 -1.09 -1.24 92
0.06 -0.01 18.87 4.90 8.38 -1.08 -0.17 -0.80 98
0.05 -0.00 14.62 4.27 3.96 -1.29 0.22 -0.48 104
0.06 -0.00 11.98 3.15 2.73 -1.19 0.49 -0.04 110
0.06 -0.01 11.66 2.16 3.71 -0.85 0.61 0.37 116
0.05 -0.00 12.39 2.07 4.25 -0.52 0.75 0.68 122
0.04 -0.00 12.73 2.69 4.72 -0.23 1.06 0.87 130
0.05 -0.01 12.15 3.28 6.57 -0.10 1.46 1.02 136
0.06 -0.01 10.59 3.84 8.04 -0.09 1.99 1.09 142
0.05 -0.00 8.34 3.93 9.76 -0.13 2.40 1.16 148
0.05 -0.00 5.54 3.94 10.00 -0.21 2.58 1.23 154
0.06 -0.00 3.14 3.75 10.05 -0.28 2.55 1.30 160
0.06 -0.01 1.63 3.22 10.16 -0.34 2.42 1.34 166
0.05 -0.01 0.57 2.62 10.60 -0.38 2.31 1.31 173
0.04 -0.00 0.01 1.93 10.87 -0.42 2.22 1.29 179
0.05 -0.00 -0.34 1.33 11.39 -0.46 2.18 1.16 185
0.05 -0.01 -0.80 0.73 11.86 -0.52 2.19 0.97 192
0.06 -0.01 -1.36 0.24 12.38 -0.58 2.21 0.70 198
