Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.16 0.50 0.61 -0.73 9.96 -0.01 -0.03 0.00 17
0.14 0.52 0.64 -0.70 10.05 -0.01 -0.04 0.00 23
0.14 0.52 0.60 -0.70 9.93 -0.01 -0.04 0.00 29
0.14 0.53 0.62 -0.72 9.98 -0.00 -0.03 0.00 35
0.13 0.50 0.58 -0.71 10.04 -0.00 -0.03 -0.00 41
0.14 0.47 0.57 -0.75 10.04 -0.00 -0.03 -0.00 48
0.13 0.44 0.60 -0.71 10.00 0.00 -0.02 -0.00 54
0.16 0.44 0.63 -0.74 10.06 0.01 -0.03 -0.00 60
0.18 0.40 0.59 -0.71 10.06 0.01 -0.02 0.00 66
0.16 0.37 0.62 -0.77 10.04 0.01 -0.02 -0.00 72
0.16 0.35 0.63 -0.72 10.11 0.01 -0.02 0.00 78
0.17 0.35 0.67 -0.74 10.02 0.01 -0.02 0.00 84
0.20 0.31 0.65 -0.74 10.07 0.01 -0.02 0.00 92
0.21 0.27 0.68 -0.78 10.04 0.01 -0.03 0.00 98
0.22 0.27 0.65 -0.71 10.05 0.02 -0.03 -0.00 104
0.20 0.29 0.62 -0.77 10.04 0.02 -0.03 -0.00 110
0.22 0.29 0.59 -0.76 10.04 0.02 -0.03 -0.00 116
0.21 0.24 0.64 -0.77 10.00 0.02 -0.03 -0.00 122
0.21 0.21 0.54 -0.80 10.06 0.03 -0.02 -0.00 129
0.19 0.19 0.63 -0.75 10.12 0.03 -0.02 -0.00 135
0.21 0.17 0.60 -0.77 10.07 0.04 -0.02 0.00 141
0.17 0.15 0.65 -0.78 10.09 0.05 -0.02 0.00 148
0.16 0.09 0.61 -0.76 10.09 0.06 -0.02 0.01 154
0.16 0.07 0.59 -0.74 10.15 0.07 -0.01 0.01 160
0.17 0.07 0.69 -0.79 10.08 0.09 -0.01 0.00 166
0.17 0.04 0.63 -0.83 10.09 0.10 -0.02 0.00 173
0.14 0.01 0.68 -0.86 10.16 0.11 -0.02 0.00 179
0.18 0.04 0.69 -0.82 10.07 0.12 -0.03 0.00 185
0.21 0.01 0.74 -0.84 10.17 0.12 -0.05 -0.01 191
0.16 -0.02 0.72 -0.86 10.18 0.13 -0.07 -0.03 197
0.15 -0.01 0.97 -0.92 10.26 0.15 -0.08 -0.06 204
0.15 -0.00 0.98 -1.03 10.28 0.17 -0.09 -0.10 210
0.13 -0.01 1.21 -0.89 10.52 0.21 -0.11 -0.15 217
0.10 -0.01 1.81 -1.31 10.60 0.27 -0.13 -0.24 223
0.14 -0.01 2.59 -1.39 10.69 0.32 -0.15 -0.38 229
0.14 -0.01 2.07 -1.33 10.67 0.37 -0.19 -0.53 235
0.12 -0.01 2.83 -1.57 11.03 0.52 -0.26 -0.69 241
0.09 -0.01 2.19 -1.85 11.82 0.62 -0.33 -0.82 247
0.11 -0.01 2.32 -2.00 11.27 0.73 -0.43 -0.90 254
0.12 -0.01 2.71 -2.83 11.91 0.77 -0.50 -0.97 261
0.09 -0.01 2.72 -2.06 11.14 0.82 -0.52 -1.04 267
0.06 -0.01 2.36 -2.36 11.70 0.82 -0.60 -1.09 273
0.08 -0.01 2.55 -2.14 10.87 0.85 -0.68 -1.17 279
0.09 -0.01 3.77 -2.63 11.31 0.86 -0.70 -1.28 285
0.07 -0.01 4.47 -3.09 11.12 0.84 -0.70 -1.43 291
0.07 -0.01 6.08 -3.22 11.33 0.81 -0.66 -1.60 297
0.05 -0.00 5.79 -2.89 11.06 0.78 -0.58 -1.75 304
0.06 -0.01 5.86 -2.67 10.97 0.73 -0.44 -1.94 311
0.04 -0.00 5.34 -2.21 10.85 0.67 -0.33 -2.13 317
