Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
5000
0.00 0.00 -1.81 -0.97 9.59 -0.01 0.04 -0.06 17
0.00 0.00 -1.83 -0.94 9.63 -0.01 0.04 -0.06 23
0.00 0.00 -1.81 -0.96 9.62 -0.01 0.04 -0.06 29
0.00 0.00 -1.80 -0.97 9.64 -0.01 0.04 -0.06 35
0.00 0.00 -1.84 -0.93 9.61 -0.01 0.03 -0.06 41
0.00 0.00 -1.85 -0.96 9.64 -0.01 0.03 -0.06 48
0.00 0.00 -1.86 -0.98 9.64 -0.01 0.02 -0.06 54
0.00 0.00 -1.86 -0.97 9.62 -0.01 0.02 -0.07 60
0.00 -0.00 -1.89 -0.98 9.60 -0.01 0.02 -0.06 66
0.00 0.00 -1.85 -0.95 9.59 -0.01 0.03 -0.06 72
0.00 0.00 -1.85 -0.94 9.57 -0.01 0.03 -0.06 78
0.00 0.00 -1.86 -0.97 9.62 -0.01 0.04 -0.06 84
0.00 0.00 -1.85 -0.96 9.56 -0.01 0.05 -0.06 91
0.00 0.00 -1.87 -0.97 9.58 -0.01 0.05 -0.06 97
-0.00 0.00 -1.84 -0.97 9.59 -0.01 0.06 -0.06 103
0.00 0.00 -1.81 -0.93 9.61 -0.01 0.07 -0.06 110
0.00 0.00 -1.80 -0.96 9.61 -0.01 0.07 -0.06 116
0.00 0.00 -1.81 -0.95 9.62 -0.01 0.07 -0.06 122
0.00 0.00 -1.78 -0.93 9.64 -0.01 0.08 -0.06 129
0.00 0.00 -1.79 -0.92 9.67 -0.01 0.07 -0.06 135
0.00 0.00 -1.81 -0.94 9.69 -0.01 0.06 -0.06 141
0.00 0.00 -1.78 -0.94 9.69 -0.01 0.05 -0.06 147
0.01 -0.00 -1.78 -0.99 9.70 -0.01 0.04 -0.06 153
0.00 0.00 -1.81 -0.97 9.69 -0.01 0.03 -0.07 160
0.00 0.00 -1.83 -0.97 9.67 -0.01 0.02 -0.06 166
0.00 0.00 -1.83 -0.97 9.70 -0.01 0.01 -0.07 173
0.00 0.00 -1.83 -0.98 9.64 -0.00 -0.00 -0.06 179
-0.00 0.00 -1.24 -0.98 9.59 -0.01 -0.01 -0.07 185
0.00 0.00 -1.87 -0.97 9.62 -0.00 -0.01 -0.07 192
0.00 0.00 -1.88 -0.97 9.63 -0.00 -0.00 -0.06 198
0.00 0.00 -1.89 -0.96 9.59 -0.01 0.00 -0.07 204
0.00 0.00 -1.85 -0.97 9.56 -0.01 0.01 -0.06 210
0.00 0.00 -1.83 -0.94 9.58 -0.01 0.02 -0.06 217
0.00 0.00 -1.83 -0.96 9.58 -0.00 0.03 -0.06 223
0.00 0.00 -1.86 -0.96 9.57 -0.01 0.05 -0.06 229
0.00 0.00 -1.79 -0.93 9.60 -0.01 0.06 -0.06 235
0.00 0.00 -1.81 -0.94 9.60 -0.01 0.07 -0.06 241
0.00 0.00 -1.83 -0.95 9.59 -0.01 0.07 -0.06 247
0.00 0.00 -1.80 -0.92 9.65 -0.01 0.08 -0.06 253
0.00 0.00 -1.78 -0.95 9.65 -0.01 0.07 -0.06 260
0.00 0.00 -1.83 -0.97 9.65 -0.01 0.07 -0.06 266
0.01 -0.00 -1.81 -0.97 9.65 -0.01 0.07 -0.06 272
0.00 0.00 -1.83 -0.95 9.71 -0.01 0.06 -0.06 279
0.00 0.00 -1.84 -0.97 9.66 -0.01 0.05 -0.06 285
0.00 0.00 -1.86 -0.94 9.68 -0.01 0.04 -0.06 291
0.00 0.00 -1.82 -0.98 9.67 -0.01 0.04 -0.07 297
0.00 0.00 -1.85 -0.95 9.67 -0.01 0.03 -0.06 304
0.00 0.00 -1.85 -0.95 9.63 -0.01 0.02 -0.06 310
0.00 0.00 -1.81 -0.97 9.61 -0.01 0.01 -0.07 316
0.00 0.00 -1.81 -0.96 9.60 -0.00 0.02 -0.06 322
0.00 0.00 -1.81 -0.96 9.62 -0.01 0.02 -0.06 328
0.00 0.00 -1.88 -0.97 9.59 -0.01 0.02 -0.06 334
0.00 0.00 -1.84 -0.93 9.60 -0.01 0.03 -0.06 340
0.00 0.00 -1.82 -0.96 9.62 -0.01 0.03 -0.07 347
-0.00 0.00 -1.82 -0.95 9.60 -0.01 0.04 -0.06 353
0.00 0.00 -1.82 -0.95 9.63 -0.01 0.04 -0.06 360
0.00 0.00 -1.83 -0.93 9.62 -0.01 0.04 -0.07 366
0.00 0.00 -1.83 -0.96 9.67 -0.01 0.05 -0.06 372
0.00 0.00 -1.80 -0.96 9.62 -0.01 0.04 -0.06 378
0.00 0.00 -1.80 -0.97 9.60 -0.00 0.04 -0.06 385
0.00 0.00 -1.78 -0.95 9.65 -0.00 0.04 -0.07 391
-0.00 0.00 -1.82 -0.95 9.68 -0.01 0.04 -0.06 397
0.00 0.00 2.27 0.95 9.67 -0.01 0.01 -0.09 404
0.00 0.00 18.98 14.24 5.63 -0.29 0.93 -0.53 410
0.00 0.00 0.98 1.78 18.45 0.23 1.47 -0.24 417
0.00 0.00 -0.30 0.89 12.44 -0.01 0.09 0.35 424
0.00 0.00 2.35 1.95 10.69 -0.02 -0.95 0.50 432
0.00 0.00 0.97 2.30 9.83 -0.28 -1.17 0.57 439
0.00 0.00 -0.30 1.01 10.44 -0.23 -1.06 0.86 445
0.00 0.00 -1.85 1.11 8.08 -0.14 -1.09 1.30 452
0.00 0.00 -1.00 1.89 8.85 -0.21 -1.06 1.61 458
0.00 0.00 -9.09 -1.82 0.40 -0.63 -0.61 1.68 464
0.00 0.00 -6.42 -2.23 7.36 -0.47 0.46 0.01 471
0.00 0.00 -0.46 -1.99 8.61 -0.30 0.11 -0.12 477
0.00 0.00 -3.17 -10.97 8.61 -0.01 0.36 -0.11 483
0.00 0.00 -10.91 -17.00 12.00 0.09 -0.07 -0.31 490
0.00 0.00 -7.30 -6.11 11.85 -0.08 -0.63 0.10 497
0.00 0.00 -5.95 -5.75 10.88 -0.35 -1.04 0.37 504
0.00 0.00 -2.38 0.45 14.23 -0.42 -1.44 0.82 512
0.00 0.00 -3.48 2.98 7.22 -0.51 -1.77 1.11 519
0.00 0.00 -2.64 3.19 9.56 -0.57 -1.61 1.25 526
0.00 0.00 -0.14 1.37 8.96 -0.61 -1.44 1.36 533
0.00 0.00 -0.21 -0.31 10.92 -0.54 -1.35 1.36 539
0.00 0.00 -0.78 -0.99 9.10 -0.53 -1.26 1.34 546
0.00 0.00 -1.39 0.04 12.23 -0.50 -1.38 1.39 552
0.00 0.00 -0.89 1.28 9.72 -0.60 -1.46 1.50 560
0.00 0.00 -1.36 1.71 9.76 -0.70 -1.36 1.61 566
0.00 0.00 -1.99 1.76 7.49 -0.75 -1.21 1.78 573
0.00 0.00 -2.75 2.30 7.60 -0.74 -0.98 1.80 579
0.00 0.00 -1.90 1.81 9.72 -0.76 -0.72 1.80 585
0.00 0.00 -2.05 -0.44 8.37 -0.71 -0.57 1.77 591
0.00 0.00 -2.57 -1.37 7.78 -0.63 -0.36 1.71 598
0.00 0.00 -1.58 -4.54 7.84 -0.57 -0.12 1.74 605
