Voltage_01 Voltage_02 Acc_x Acc_y Acc_z Gyro_x Gyro_y Gyro_z Time
1000
0.49 0.08 0.43 -1.01 9.78 -0.04 0.03 -0.07 24
0.49 0.15 0.43 -1.02 9.78 -0.05 0.03 -0.07 31
0.54 0.15 0.43 -1.03 9.80 -0.04 0.03 -0.07 38
0.53 0.14 0.44 -1.02 9.81 -0.00 0.03 -0.07 46
0.56 0.15 0.43 -1.05 9.82 -0.04 0.03 -0.07 53
0.59 0.15 0.45 -1.02 9.75 -0.04 0.03 -0.07 60
0.61 0.16 0.42 -1.00 9.81 -0.04 0.03 -0.07 67
0.64 0.16 0.68 -1.53 9.96 -0.03 0.03 -0.07 74
0.67 0.17 0.42 -1.01 9.82 -0.03 0.04 -0.07 81
0.76 0.19 0.45 -0.99 9.79 -0.02 0.04 -0.07 89
0.77 0.18 0.42 -1.00 9.78 -0.02 0.04 -0.08 96
0.79 0.19 0.44 -1.00 9.79 -0.02 0.04 -0.07 103
0.79 0.16 0.45 -1.01 9.81 -0.02 0.04 -0.08 110
0.81 0.17 0.42 -1.02 9.79 -0.01 0.04 -0.08 117
0.83 0.17 0.39 -1.01 9.83 -0.01 0.04 -0.07 124
0.81 0.18 0.44 -1.02 9.82 -0.01 0.04 -0.07 132
0.84 0.14 0.43 -1.01 9.82 -0.00 0.05 -0.08 139
0.84 0.13 0.43 -1.00 9.82 -0.00 0.05 -0.08 146
0.87 0.11 0.43 -1.03 9.79 0.00 0.05 -0.07 153
0.89 0.10 0.46 -1.03 9.81 -0.00 0.05 -0.07 160
0.92 0.09 0.43 -1.03 9.81 0.01 0.06 -0.07 167
0.94 0.08 0.43 -1.00 9.77 0.01 0.05 -0.07 175
0.98 0.06 0.40 -1.02 9.82 0.01 0.05 -0.07 182
0.97 0.04 0.45 -1.02 9.80 0.01 0.06 -0.07 189
0.99 0.04 0.42 -1.01 9.81 0.01 0.06 -0.07 196
1.02 0.04 0.40 -1.01 10.42 0.01 0.05 -0.07 203
1.04 0.01 0.45 -1.01 9.81 0.02 0.06 -0.07 210
1.08 0.01 0.45 -0.98 9.80 0.02 0.06 -0.07 218
1.12 0.00 0.44 -0.99 9.80 0.02 0.06 -0.07 225
1.21 -0.04 0.44 -1.03 9.80 0.02 0.05 -0.08 232
1.27 -0.06 0.44 -1.02 9.77 0.02 0.05 -0.07 239
1.30 -0.06 0.41 -1.05 9.80 0.02 0.05 -0.08 246
1.33 -0.05 0.45 -1.03 9.77 0.02 0.05 -0.08 253
1.41 -0.05 0.47 -1.03 9.79 0.02 0.05 -0.08 261
1.45 -0.05 0.42 -1.02 9.81 0.02 0.05 -0.07 268
1.47 -0.06 0.46 -1.03 9.82 0.02 0.05 -0.07 275
1.48 -0.06 0.43 -1.03 9.79 0.02 0.05 -0.07 282
1.50 -0.07 0.47 -1.03 9.81 0.02 0.04 -0.07 289
1.51 -0.06 0.42 -1.08 10.40 0.01 0.05 -0.08 296
1.54 -0.05 0.44 -1.07 9.80 0.02 0.05 -0.08 304
1.56 -0.06 0.45 -1.07 9.81 0.02 0.05 -0.08 311
1.57 -0.07 0.47 -1.06 9.78 0.02 0.05 -0.08 318
1.59 -0.07 0.43 -1.05 9.76 0.01 0.05 -0.07 325
1.62 -0.07 0.47 -1.07 10.40 0.01 0.05 -0.07 332
1.65 -0.05 0.45 -1.06 9.80 0.01 0.05 -0.08 339
1.65 -0.06 0.45 -1.02 9.80 0.01 0.05 -0.07 347
1.66 -0.06 0.43 -1.04 9.77 0.01 0.05 -0.08 354
1.65 -0.07 0.45 -1.07 9.79 0.01 0.05 -0.07 361
1.64 -0.07 0.43 -1.06 9.80 0.01 0.05 -0.07 368
1.64 -0.05 0.46 -1.06 9.81 0.01 0.05 -0.07 375
1.63 -0.06 0.46 -1.05 9.77 0.01 0.05 -0.07 382
1.63 -0.07 0.45 -1.04 9.80 0.01 0.05 -0.08 390
1.63 -0.08 0.48 -1.07 9.80 0.01 0.05 -0.07 397
1.62 -0.07 0.46 -1.09 9.81 0.02 0.05 -0.08 404
1.61 -0.06 0.47 -1.08 9.81 0.01 0.05 -0.07 411
1.60 -0.05 0.49 -1.07 9.77 0.01 0.04 -0.07 418
1.60 -0.06 0.47 -1.07 10.39 0.01 0.04 -0.08 425
1.59 -0.06 0.46 -1.10 9.76 0.01 0.04 -0.08 433
1.57 -0.07 0.48 -1.10 9.81 0.01 0.04 -0.08 440
1.55 -0.06 0.45 -1.09 9.80 0.00 0.03 -0.08 447
1.52 -0.06 0.48 -1.13 9.80 0.01 0.03 -0.07 454
1.49 -0.04 0.44 -1.09 10.41 0.00 0.03 -0.08 461
1.45 -0.05 0.43 -1.11 9.78 0.00 0.03 -0.07 468
1.39 -0.05 0.44 -1.13 9.80 -0.00 0.04 -0.07 476
1.32 -0.06 0.42 -1.11 9.74 -0.01 0.04 -0.07 483
1.18 -0.04 0.43 -1.13 9.81 -0.02 0.05 -0.07 490
1.09 -0.04 0.43 -1.09 9.77 -0.02 0.05 -0.06 497
0.93 -0.02 0.48 -1.08 9.80 -0.02 0.04 -0.06 504
0.87 -0.03 0.46 -1.08 9.80 -0.02 0.04 -0.06 512
0.75 -0.03 0.44 -1.09 9.78 -0.03 0.04 -0.06 519
0.69 -0.04 0.44 -1.11 9.80 -0.03 0.04 -0.05 526
0.60 -0.03 0.44 -1.08 9.80 -0.03 0.04 -0.05 533
0.52 -0.01 0.42 -1.06 9.77 -0.03 0.04 -0.06 540
0.45 -0.01 0.46 -1.02 9.78 -0.03 0.04 -0.05 547
0.38 -0.01 0.42 -1.06 9.78 -0.02 0.04 -0.05 555
0.34 -0.01 0.44 -1.07 9.79 -0.02 0.04 -0.05 562
0.24 -0.01 0.44 -1.06 9.79 -0.02 0.04 -0.05 569
0.18 0.00 0.42 -1.04 9.82 -0.01 0.04 -0.06 576
0.18 0.02 0.44 -1.04 9.80 -0.01 0.04 -0.06 583
0.15 0.01 0.45 -1.02 9.81 -0.00 0.04 -0.05 590
0.13 0.01 0.44 -1.05 9.78 0.00 0.04 -0.05 598
0.10 0.00 0.40 -1.03 9.82 0.00 0.04 -0.05 605
0.10 -0.01 0.47 -1.02 9.71 -0.00 0.05 -0.05 612
0.13 0.00 0.43 -1.03 9.79 0.01 0.05 -0.06 619
0.09 0.02 0.44 -1.02 9.78 0.00 0.05 -0.05 626
0.11 0.01 0.43 -1.03 9.75 0.00 0.04 -0.05 633
0.09 0.01 0.42 -1.04 9.80 0.00 0.04 -0.05 641
0.08 -0.01 0.41 -1.03 9.75 0.01 0.04 -0.05 648
0.06 0.00 0.35 -1.01 9.76 -0.00 0.05 -0.05 655
0.08 0.01 0.39 -1.01 9.77 0.00 0.05 -0.05 662
0.08 0.02 0.42 -1.05 9.78 -0.00 0.05 -0.05 669
0.09 0.01 0.40 -1.04 9.78 -0.00 0.05 -0.05 676
0.05 0.01 0.41 -1.06 9.76 -0.00 0.05 -0.05 684
0.05 0.00 0.46 -1.07 9.75 -0.01 0.05 -0.05 691
0.03 0.01 0.40 -1.07 9.72 -0.01 0.05 -0.05 698
0.03 0.01 0.46 -1.03 9.77 -0.01 0.05 -0.05 705
0.04 0.02 0.45 -1.03 9.78 -0.01 0.05 -0.05 712
0.04 0.02 0.40 -1.04 9.80 -0.01 0.05 -0.05 719
0.03 0.01 0.49 -0.99 9.81 -0.01 0.05 -0.05 727
0.04 -0.00 0.42 -1.05 9.78 -0.01 0.05 -0.05 734
0.02 0.02 0.42 -1.05 9.79 -0.01 0.05 -0.05 741
0.03 0.01 0.46 -1.04 9.80 -0.01 0.05 -0.05 748
0.03 0.02 0.43 -1.05 9.79 -0.01 0.05 -0.05 755
0.03 0.01 0.45 -1.05 9.83 -0.01 0.05 -0.05 762
0.03 0.02 0.41 -1.09 9.78 -0.01 0.05 -0.05 770
